suite,dataset,budget,seed,method,n_entities,n_sources,n_records,n_attacked_records,description,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall
external_tabular,diabetes,0.2,21,majority,300,12,2695,425,"diabetes regression table, 442 rows, 10 numeric attributes",0.9938095238095238,0.9938095238095238,0.03104130506346734,0.8411111111111111,0.9733320346115992,0.16780954600000086,300.0,1.0,1.0,1.0,0.0,0.0,0.003421670580342167,0.011363636363636364,0.9871406959152799,0.9886363636363636
external_tabular,diabetes,0.2,21,iterative_truth,300,12,2695,425,"diabetes regression table, 442 rows, 10 numeric attributes",1.0,1.0,0.0,0.8511111111111112,1.0,0.4722917359999883,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,diabetes,0.2,21,dependency_truth,300,12,2695,425,"diabetes regression table, 442 rows, 10 numeric attributes",0.9995238095238095,0.9995238095238095,0.0,0.8511111111111112,1.0,0.6052028189999987,300.0,1.0,1.0,1.0,0.0,0.0,0.00013418316001341833,0.0007575757575757576,0.9994948219247285,0.9992424242424243
external_tabular,diabetes,0.2,21,parc,300,12,2695,425,"diabetes regression table, 442 rows, 10 numeric attributes",0.9995238095238095,0.9995238095238095,0.0,0.8511111111111112,1.0,0.7338913119999688,300.0,1.0,1.0,1.0,0.0,0.0,0.00013418316001341833,0.0007575757575757576,0.9994948219247285,0.9992424242424243
external_tabular,digits,0.2,21,no_repair,300,12,2695,425,"digits handwritten-image feature table, deterministically subsampled to 600 rows",0.4523809523809524,0.4523809523809524,1.1760430502830503,0.38888888888888884,0.0,0.14650228400000742,300.0,1.0,1.0,1.0,0.0,0.0,0.5123005319148937,0.3184313725490196,0.2528122575640031,0.6815686274509803
external_tabular,digits,0.2,21,majority,300,12,2695,425,"digits handwritten-image feature table, deterministically subsampled to 600 rows",0.9933333333333333,0.9933333333333333,0.03666666000666001,0.9422222222222222,0.9688220086859617,0.23848713799998222,300.0,1.0,1.0,1.0,0.0,0.0,0.0036569148936170214,0.01281045751633987,0.9856434351344296,0.9871895424836601
external_tabular,digits,0.2,21,iterative_truth,300,12,2695,425,"digits handwritten-image feature table, deterministically subsampled to 600 rows",1.0,1.0,0.0,0.9533333333333334,1.0,0.4817647869999746,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,digits,0.2,21,dependency_truth,300,12,2695,425,"digits handwritten-image feature table, deterministically subsampled to 600 rows",1.0,1.0,0.0,0.9533333333333334,1.0,0.676467558000013,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,digits,0.2,21,parc,300,12,2695,425,"digits handwritten-image feature table, deterministically subsampled to 600 rows",1.0,1.0,0.0,0.9533333333333334,1.0,0.7266751419999764,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,mpg,0.2,21,no_repair,234,12,2121,332,plotnine automobile fuel-economy table with real categorical and numeric vehicle attributes,0.48656898656898656,0.48656898656898656,1.042758343177791,0.37891737891737887,0.0,0.1041228650000221,234.0,1.0,1.0,1.0,0.0,0.0,0.4748126198361513,0.27512600059294395,0.30976814899277844,0.724873999407056
