dataset,budget,method,query,seed_mean,seed_std,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean,n_entities_std
diabetes,0.2,majority,category_join_filter,21.0,,0.01552065253173367,,0.16780954600000086,,300.0,
diabetes,0.2,majority,geo_join_groupby,21.0,,0.014305797723870726,,0.16780954600000086,,300.0,
diabetes,0.2,majority,having_top_groups,21.0,,0.03104130506346734,,0.16780954600000086,,300.0,
diabetes,0.2,majority,selection_groupby,21.0,,0.03104130506346734,,0.16780954600000086,,300.0,
diabetes,0.2,no_repair,category_join_filter,21.0,,0.8227246392874084,,0.12677889400004005,,300.0,
diabetes,0.2,no_repair,geo_join_groupby,21.0,,0.57770606517005,,0.12677889400004005,,300.0,
diabetes,0.2,no_repair,having_top_groups,21.0,,1.0802880423058425,,0.12677889400004005,,300.0,
diabetes,0.2,no_repair,selection_groupby,21.0,,1.1639922510537208,,0.12677889400004005,,300.0,
diabetes,0.2,parc,category_join_filter,21.0,,0.0,,0.7338913119999688,,300.0,
diabetes,0.2,parc,geo_join_groupby,21.0,,0.0,,0.7338913119999688,,300.0,
diabetes,0.2,parc,having_top_groups,21.0,,0.0,,0.7338913119999688,,300.0,
diabetes,0.2,parc,selection_groupby,21.0,,0.0,,0.7338913119999688,,300.0,
digits,0.2,dependency_truth,category_join_filter,21.0,,0.0,,0.676467558000013,,300.0,
digits,0.2,dependency_truth,geo_join_groupby,21.0,,0.0,,0.676467558000013,,300.0,
digits,0.2,dependency_truth,having_top_groups,21.0,,0.0,,0.676467558000013,,300.0,
digits,0.2,dependency_truth,selection_groupby,21.0,,0.0,,0.676467558000013,,300.0,
digits,0.2,iterative_truth,category_join_filter,21.0,,0.0,,0.4817647869999746,,300.0,
digits,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.4817647869999746,,300.0,
digits,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.4817647869999746,,300.0,
digits,0.2,iterative_truth,selection_groupby,21.0,,0.0,,0.4817647869999746,,300.0,
digits,0.2,majority,category_join_filter,21.0,,0.01999999333999334,,0.23848713799998222,,300.0,
digits,0.2,majority,geo_join_groupby,21.0,,0.00999999333999334,,0.23848713799998222,,300.0,
digits,0.2,majority,having_top_groups,21.0,,0.010638297872340425,,0.23848713799998222,,300.0,
digits,0.2,majority,selection_groupby,21.0,,0.03666666000666001,,0.23848713799998222,,300.0,
digits,0.2,no_repair,category_join_filter,21.0,,0.8279458275058275,,0.14650228400000742,,300.0,
digits,0.2,no_repair,geo_join_groupby,21.0,,0.5824660273060273,,0.14650228400000742,,300.0,
digits,0.2,no_repair,having_top_groups,21.0,,1.3665670287159648,,0.14650228400000742,,300.0,
digits,0.2,no_repair,selection_groupby,21.0,,1.1760430502830503,,0.14650228400000742,,300.0,
digits,0.2,parc,category_join_filter,21.0,,0.0,,0.7266751419999764,,300.0,
digits,0.2,parc,geo_join_groupby,21.0,,0.0,,0.7266751419999764,,300.0,
digits,0.2,parc,having_top_groups,21.0,,0.0,,0.7266751419999764,,300.0,
digits,0.2,parc,selection_groupby,21.0,,0.0,,0.7266751419999764,,300.0,
iris,0.2,dependency_truth,category_join_filter,21.0,,0.0,,0.36364952100001346,,150.0,
iris,0.2,dependency_truth,geo_join_groupby,21.0,,0.0,,0.36364952100001346,,150.0,
iris,0.2,dependency_truth,having_top_groups,21.0,,0.0,,0.36364952100001346,,150.0,
iris,0.2,dependency_truth,selection_groupby,21.0,,0.0,,0.36364952100001346,,150.0,
iris,0.2,iterative_truth,category_join_filter,21.0,,0.0,,0.24595880499998657,,150.0,
iris,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.24595880499998657,,150.0,
iris,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.24595880499998657,,150.0,
iris,0.2,iterative_truth,selection_groupby,21.0,,0.0,,0.24595880499998657,,150.0,
iris,0.2,majority,category_join_filter,21.0,,0.013387144992526159,,0.10237991899998633,,150.0,
iris,0.2,majority,geo_join_groupby,21.0,,0.025473181526993186,,0.10237991899998633,,150.0,
iris,0.2,majority,having_top_groups,21.0,,0.01772779686681032,,0.10237991899998633,,150.0,
iris,0.2,majority,selection_groupby,21.0,,0.01772779686681032,,0.10237991899998633,,150.0,
iris,0.2,no_repair,category_join_filter,21.0,,0.8529420224021121,,0.0804199570000037,,150.0,
iris,0.2,no_repair,geo_join_groupby,21.0,,0.6640036029740065,,0.0804199570000037,,150.0,
iris,0.2,no_repair,having_top_groups,21.0,,1.0887709277269815,,0.0804199570000037,,150.0,
iris,0.2,no_repair,selection_groupby,21.0,,1.130112010560441,,0.0804199570000037,,150.0,
iris,0.2,parc,category_join_filter,21.0,,0.0,,0.37224774700001717,,150.0,
iris,0.2,parc,geo_join_groupby,21.0,,0.0,,0.37224774700001717,,150.0,
iris,0.2,parc,having_top_groups,21.0,,0.0,,0.37224774700001717,,150.0,
iris,0.2,parc,selection_groupby,21.0,,0.0,,0.37224774700001717,,150.0,
midwest,0.2,dependency_truth,category_join_filter,21.0,,0.0,,0.6711153080000258,,300.0,
midwest,0.2,dependency_truth,geo_join_groupby,21.0,,0.0,,0.6711153080000258,,300.0,
midwest,0.2,dependency_truth,having_top_groups,21.0,,0.0,,0.6711153080000258,,300.0,
midwest,0.2,dependency_truth,selection_groupby,21.0,,0.0,,0.6711153080000258,,300.0,
midwest,0.2,iterative_truth,category_join_filter,21.0,,0.0,,0.43389667299999246,,300.0,
midwest,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.43389667299999246,,300.0,
midwest,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.43389667299999246,,300.0,
