dataset,budget,method,seed_mean,seed_std,n_entities_mean,n_entities_std,n_sources_mean,n_sources_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std
digits,0.2,dependency_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.9533333333333334,,1.0,,0.676467558000013,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
digits,0.2,iterative_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.9533333333333334,,1.0,,0.4817647869999746,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
digits,0.2,majority,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9933333333333333,,0.9933333333333333,,0.03666666000666001,,0.9422222222222222,,0.9688220086859617,,0.23848713799998222,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0036569148936170214,,0.01281045751633987,,0.9856434351344296,,0.9871895424836601,
digits,0.2,no_repair,21.0,,300.0,,12.0,,2695.0,,425.0,,0.4523809523809524,,0.4523809523809524,,1.1760430502830503,,0.38888888888888884,,0.0,,0.14650228400000742,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5123005319148937,,0.3184313725490196,,0.2528122575640031,,0.6815686274509803,
digits,0.2,parc,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.9533333333333334,,1.0,,0.7266751419999764,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
iris,0.2,dependency_truth,21.0,,150.0,,12.0,,1373.0,,226.0,,1.0,,1.0,,0.0,,0.6777777777777778,,1.0,,0.36364952100001346,,150.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
iris,0.2,iterative_truth,21.0,,150.0,,12.0,,1373.0,,226.0,,1.0,,1.0,,0.0,,0.6777777777777778,,1.0,,0.24595880499998657,,150.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
iris,0.2,majority,21.0,,150.0,,12.0,,1373.0,,226.0,,0.9923809523809524,,0.9923809523809524,,0.01772779686681032,,0.6733333333333333,,0.9843132391292623,,0.10237991899998633,,150.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0036144578313253013,,0.005137786081270434,,0.9874826147426982,,0.9948622139187295,
iris,0.2,no_repair,21.0,,150.0,,12.0,,1373.0,,226.0,,0.43523809523809526,,0.43523809523809526,,1.130112010560441,,0.33333333333333337,,0.0,,0.0804199570000037,,150.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.523293172690763,,0.269500233535731,,0.2857664900420245,,0.7304997664642691,
iris,0.2,parc,21.0,,150.0,,12.0,,1373.0,,226.0,,1.0,,1.0,,0.0,,0.6777777777777778,,1.0,,0.37224774700001717,,150.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
midwest,0.2,dependency_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.6811111111111111,,1.0,,0.6711153080000258,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
midwest,0.2,iterative_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.6811111111111111,,1.0,,0.43389667299999246,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
midwest,0.2,majority,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9942857142857143,,0.9942857142857143,,0.02952305604892538,,0.6722222222222223,,0.9747076133011485,,0.1787628729999824,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0030048487331830907,,0.01113216485078162,,0.9895709883858734,,0.9888678351492184,
midwest,0.2,no_repair,21.0,,300.0,,12.0,,2695.0,,425.0,,0.43952380952380954,,0.43952380952380954,,1.1672704676093704,,0.3111111111111111,,0.0,,0.13509145999995553,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5208632110906235,,0.2901468498342018,,0.28209713855421686,,0.7098531501657982,
