method,integrated_quality_mean,integrated_quality_std,cell_accuracy_mean,cell_accuracy_std,aggregate_distortion_mean,aggregate_distortion_std,false_positive_rate_mean,false_positive_rate_std,runtime_sec_mean,runtime_sec_std,entity_f1_mean,entity_f1_std
parc,0.9962857142857142,0.002086562123829148,0.9962857142857142,0.002086562123829148,0.0152060228099478,0.015145897919650651,0.00149644612684698,0.0009464436269843947,0.7308616759999836,0.13522045552493653,1.0,0.0
dependency_truth,0.9961904761904762,0.0019633836312464453,0.9961904761904762,0.0019633836312464453,0.01523651626166988,0.015143400297658875,0.0015404989902831,0.0008974076349933064,0.6075849615997868,0.015134609137695107,1.0,0.0
iterative_truth,0.9929523809523809,0.005444004795058186,0.9929523809523809,0.005444004795058186,0.043653619259319244,0.05235001987971631,0.003438192851849841,0.0028549720164032953,0.5078620033999073,0.09930861147567815,1.0,0.0
standard_fd,0.9895238095238096,0.004110161071817177,0.9895238095238096,0.004110161071817177,0.043447464970918434,0.01233321810980597,0.00510728139017564,0.002361051680509258,0.19162982180007473,0.0060431647024186555,1.0,0.0
outlier_removal,0.9895238095238096,0.004110161071817177,0.9895238095238096,0.004110161071817177,0.043447464970918434,0.01233321810980597,0.00510728139017564,0.002361051680509258,0.2812826237999616,0.023209281818501168,1.0,0.0
rule_only,0.9895238095238096,0.004110161071817177,0.9895238095238096,0.004110161071817177,0.043447464970918434,0.01233321810980597,0.00510728139017564,0.002361051680509258,0.18963095839994817,0.0071861309126703765,1.0,0.0
source_dependence,0.9893333333333333,0.001452185779235846,0.9893333333333333,0.001452185779235846,0.016557974714852618,0.007124576523509905,0.00497905737652894,0.0007317055808786848,0.27866884539989767,0.04985006458140698,1.0,0.0
majority,0.9868571428571429,0.004804570764049323,0.9868571428571429,0.004804570764049323,0.043447464970918434,0.01233321810980597,0.00604108548479812,0.0023054248850667486,0.21255427119998554,0.004421738707006902,1.0,0.0
random_weighting,0.9741904761904762,0.004646213682914437,0.9741904761904762,0.004646213682914437,0.10895976568588568,0.05990375750903859,0.01434175751654208,0.004079309223534295,0.17817626900011868,0.007561288749190943,1.0,0.0
provenance_unaware,0.9648571428571427,0.01545383000029453,0.9648571428571427,0.01545383000029453,0.12763717692208562,0.08740045540131747,0.02181680163769002,0.01100166144982235,0.17292372679985415,0.0032408944740635556,1.0,0.0
no_repair,0.6640952380952381,0.0450429374392027,0.6640952380952381,0.0450429374392027,0.5108647362193588,0.1262450412949052,0.3016038361238088,0.045305840027916065,0.19465815180030857,0.08403634946828627,1.0,0.0
