dataset,budget,method,query,seed_mean,seed_std,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean,n_entities_std
iris,0.2,iterative_truth,category_join_filter,21.0,,0.0,,0.4488343230000282,,150.0,
iris,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.4488343230000282,,150.0,
iris,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.4488343230000282,,150.0,
iris,0.2,iterative_truth,selection_groupby,21.0,,0.0,,0.4488343230000282,,150.0,
iris,0.2,majority,category_join_filter,21.0,,0.0133871449925261,,0.1729111500003455,,150.0,
iris,0.2,majority,geo_join_groupby,21.0,,0.0254731815269931,,0.1729111500003455,,150.0,
iris,0.2,majority,having_top_groups,21.0,,0.0177277968668103,,0.1729111500003455,,150.0,
iris,0.2,majority,selection_groupby,21.0,,0.0177277968668103,,0.1729111500003455,,150.0,
iris,0.2,no_repair,category_join_filter,21.0,,0.8529420224021121,,0.1402519479997863,,150.0,
iris,0.2,no_repair,geo_join_groupby,21.0,,0.6640036029740065,,0.1402519479997863,,150.0,
iris,0.2,no_repair,having_top_groups,21.0,,1.0887709277269817,,0.1402519479997863,,150.0,
iris,0.2,no_repair,selection_groupby,21.0,,1.130112010560441,,0.1402519479997863,,150.0,
iris,0.2,parc,category_join_filter,21.0,,0.0,,0.6787592159998894,,150.0,
iris,0.2,parc,geo_join_groupby,21.0,,0.0,,0.6787592159998894,,150.0,
iris,0.2,parc,having_top_groups,21.0,,0.0,,0.6787592159998894,,150.0,
iris,0.2,parc,selection_groupby,21.0,,0.0,,0.6787592159998894,,150.0,
midwest,0.2,dependency_truth,category_join_filter,21.0,,0.0,,1.342692229000022,,300.0,
midwest,0.2,dependency_truth,geo_join_groupby,21.0,,0.0,,1.342692229000022,,300.0,
midwest,0.2,dependency_truth,having_top_groups,21.0,,0.0,,1.342692229000022,,300.0,
midwest,0.2,dependency_truth,selection_groupby,21.0,,0.0,,1.342692229000022,,300.0,
midwest,0.2,iterative_truth,category_join_filter,21.0,,0.0,,0.8343411209998521,,300.0,
midwest,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.8343411209998521,,300.0,
midwest,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.8343411209998521,,300.0,
midwest,0.2,iterative_truth,selection_groupby,21.0,,0.0,,0.8343411209998521,,300.0,
midwest,0.2,majority,category_join_filter,21.0,,0.0147615280244626,,0.3485535580002761,,300.0,
midwest,0.2,majority,geo_join_groupby,21.0,,0.0117050385971771,,0.3485535580002761,,300.0,
midwest,0.2,majority,having_top_groups,21.0,,0.0,,0.3485535580002761,,300.0,
midwest,0.2,majority,selection_groupby,21.0,,0.0295230560489253,,0.3485535580002761,,300.0,
midwest,0.2,no_repair,category_join_filter,21.0,,0.8410033039824436,,0.2725602969999272,,300.0,
midwest,0.2,no_repair,geo_join_groupby,21.0,,0.6408143301833242,,0.2725602969999272,,300.0,
midwest,0.2,no_repair,having_top_groups,21.0,,4.825005304353586,,0.2725602969999272,,300.0,
midwest,0.2,no_repair,selection_groupby,21.0,,1.1672704676093704,,0.2725602969999272,,300.0,
midwest,0.2,parc,category_join_filter,21.0,,0.0,,1.4525797950000197,,300.0,
midwest,0.2,parc,geo_join_groupby,21.0,,0.0,,1.4525797950000197,,300.0,
