method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
majority,0.2,42000,3000,12,23985,3729,1042,all,1.0,coordinated,0.9794761904761905,0.9788232063492064,0.056556864828419255,0.9704444444444444,0.9325828441739153,2.4240438920000997,3000.0,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.0006666666666666666,0.0006666666666666666,0.009121703552457618,0.02185109255462773,0.9710598163315959,0.9781489074453723,0.0,0.0,0.0
dependency_truth,0.2,42000,3000,12,23985,3729,1042,all,1.0,coordinated,0.9943809523809524,0.9937180317460317,0.007513602785699665,1.0,0.9910436030823921,8.710850003999894,3000.0,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.0006666666666666666,0.0006666666666666666,0.0019244760496608699,0.004075203760188009,0.9938624285821213,0.995924796239812,1.0,0.6666666666666666,0.8
parc,0.2,42000,3000,12,23985,3729,1042,all,1.0,coordinated,0.9946190476190476,0.9939559682539683,0.008166796853256301,1.0,0.9902649798972009,10.067097818000093,3000.0,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.0006666666666666666,0.0006666666666666666,0.0018071299490717923,0.00392519625981299,0.9942353763226193,0.996074803740187,1.0,0.6666666666666666,0.8
