operator_label,Dep.+truth,Majority,PARC
all,0.9800915343915344,0.934169312169312,0.9799333333333332
duplicate,0.9976190476190476,0.9931746031746032,0.9976190476190476
fd,0.9957142857142856,0.9963492063492062,0.9957142857142856
key,0.9942857142857142,0.9961904761904762,0.9942857142857142
name,0.9974603174603176,0.997777777777778,0.9974603174603176
outlier,0.98984126984127,0.9925396825396824,0.98984126984127
provenance,0.9984126984126984,0.997777777777778,0.9984126984126984
schema,0.9976190476190476,0.9973015873015872,0.9974603174603176
trust,0.9973015873015872,0.997777777777778,0.9973015873015872
trust+provenance,0.9982539682539684,0.997777777777778,0.9982539682539684
