suite,dataset,budget,seed,method,query,query_l1_distortion,runtime_sec,n_entities
extended_sql_fragment,iris,0.3,31,no_repair,select_project,1.2980317046182517,0.067223427000016,150
extended_sql_fragment,iris,0.3,31,no_repair,topk_order_limit,1.2832370702541107,0.067223427000016,150
extended_sql_fragment,iris,0.3,31,no_repair,union_all,1.2980317046182517,0.067223427000016,150
extended_sql_fragment,iris,0.3,31,no_repair,window_ranked_groups,1.2832370702541107,0.067223427000016,150
extended_sql_fragment,iris,0.3,31,majority,anti_join_not_exists,0.3376482518975792,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,groupby_having,0.3376482518975792,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,inner_join_geo,0.0988653737891406,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,intersection_positive,0.1507308834663094,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,join_filter_dim,0.1507308834663094,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,left_join_geo,0.0988653737891406,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,nested_exists,0.1507308834663094,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,select_project,0.3376482518975792,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,topk_order_limit,0.3375861316560868,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,union_all,0.3376482518975792,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,majority,window_ranked_groups,0.3375861316560868,0.1344072999999923,150
extended_sql_fragment,iris,0.3,31,iterative_truth,anti_join_not_exists,0.1443301846135926,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,groupby_having,0.1443301846135926,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,inner_join_geo,0.0593563100576553,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,intersection_positive,0.0640531438665967,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,join_filter_dim,0.0640531438665967,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,left_join_geo,0.0593563100576553,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,nested_exists,0.0640531438665967,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,select_project,0.1443301846135926,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,topk_order_limit,0.1443301846135926,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,union_all,0.1443301846135926,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,iterative_truth,window_ranked_groups,0.1443301846135926,0.2236776219999967,150
extended_sql_fragment,iris,0.3,31,dependency_truth,anti_join_not_exists,0.0205159707258361,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,groupby_having,0.0205159707258361,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,inner_join_geo,0.0114393648205307,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,intersection_positive,0.0084180536951837,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,join_filter_dim,0.0084180536951837,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,left_join_geo,0.0234230116669578,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,nested_exists,0.0084180536951837,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,select_project,0.0205159707258361,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,topk_order_limit,0.0205159707258361,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,union_all,0.0205159707258361,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,dependency_truth,window_ranked_groups,0.0205159707258361,0.2930120430000045,150
extended_sql_fragment,iris,0.3,31,parc,anti_join_not_exists,0.0205159707258361,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,groupby_having,0.0205159707258361,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,inner_join_geo,0.0114393648205307,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,intersection_positive,0.0084180536951837,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,join_filter_dim,0.0084180536951837,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,left_join_geo,0.0234230116669578,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,nested_exists,0.0084180536951837,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,select_project,0.0205159707258361,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,topk_order_limit,0.0205159707258361,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,union_all,0.0205159707258361,0.3249408570000014,150
extended_sql_fragment,iris,0.3,31,parc,window_ranked_groups,0.0205159707258361,0.3249408570000014,150
extended_sql_fragment,wine,0.2,31,no_repair,anti_join_not_exists,1.117512150681109,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,groupby_having,1.117512150681109,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,inner_join_geo,0.4558409931182885,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,intersection_positive,0.7596144498601883,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,join_filter_dim,0.7596144498601883,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,left_join_geo,0.5099652371973094,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,nested_exists,0.7596144498601883,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,select_project,1.117512150681109,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,topk_order_limit,1.10440968272408,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,union_all,1.117512150681109,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,no_repair,window_ranked_groups,1.10440968272408,0.0891375100000004,178
extended_sql_fragment,wine,0.2,31,majority,anti_join_not_exists,0.0456061094976874,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,groupby_having,0.0456061094976874,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,inner_join_geo,0.0103153697270717,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,intersection_positive,0.0198186809201236,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,join_filter_dim,0.0198186809201236,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,left_join_geo,0.0103153697270717,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,nested_exists,0.0198186809201236,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,select_project,0.0456061094976874,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,topk_order_limit,0.0456061094976874,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,union_all,0.0456061094976874,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,majority,window_ranked_groups,0.0456061094976874,0.1062574059999974,178
extended_sql_fragment,wine,0.2,31,iterative_truth,anti_join_not_exists,0.0244783009071647,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,groupby_having,0.0244783009071647,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,inner_join_geo,0.0,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,intersection_positive,0.0122391504535823,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,join_filter_dim,0.0122391504535823,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,left_join_geo,0.0,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,nested_exists,0.0122391504535823,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,select_project,0.0244783009071647,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,topk_order_limit,0.0244783009071647,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,union_all,0.0244783009071647,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,iterative_truth,window_ranked_groups,0.0244783009071647,0.2756738159999941,178
extended_sql_fragment,wine,0.2,31,dependency_truth,anti_join_not_exists,0.0009199123411012,0.3696629940000093,178
extended_sql_fragment,wine,0.2,31,dependency_truth,groupby_having,0.0009199123411012,0.3696629940000093,178
extended_sql_fragment,wine,0.2,31,dependency_truth,inner_join_geo,0.0009199123411012,0.3696629940000093,178
extended_sql_fragment,wine,0.2,31,dependency_truth,intersection_positive,0.0009199123411012,0.3696629940000093,178
extended_sql_fragment,wine,0.2,31,dependency_truth,join_filter_dim,0.0009199123411012,0.3696629940000093,178
