suite,budget,method,point_distortion_mean,point_distortion_std,coverage_mean,coverage_std,total_norm_width_mean,total_norm_width_std,total_norm_miss_mean,total_norm_miss_std,mean_relative_width_mean,mean_relative_width_std,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,runtime_sec_mean,runtime_sec_std
public-tabular,0.2,dependency_truth,0.00036953863875356023,0.0007390772775071205,1.0,0.0,0.00969468645628134,0.015906347418338358,0.0,0.0,0.01923030246668624,0.03553594571631062,0.9993606206527554,0.0006818489374705811,0.9993606206527554,0.0006818489374705811,0.960574725250126,0.2777521398151034
public-tabular,0.2,iterative_truth,0.0019222667468916444,0.0031966771262384465,0.9375,0.125,0.015424734448421653,0.015478729905727186,6.355677207695145e-06,1.271135441539029e-05,92317.63490350851,184635.25685023473,0.9974184055644729,0.003996185636377842,0.9974184055644729,0.003996185636377842,0.6938549115001251,0.2607372692322132
public-tabular,0.2,no_repair,1.0204887889136844,0.09425577221618474,0.0,0.0,0.0,0.0,1.0204887889136844,0.09425577221618474,0.0,0.0,0.5518579454253612,0.005535543694379063,0.5518579454253612,0.005535543694379063,0.24832256825004606,0.08576917381961238
public-tabular,0.2,parc,0.00020982787701302123,0.00041965575402604246,1.0,0.0,0.00969468645628134,0.015906347418338358,0.0,0.0,0.01923030246668624,0.03553594571631062,0.99956126270733,0.00033048894905115915,0.99956126270733,0.00033048894905115915,1.037772749249939,0.34996758730605426
synthetic-control,0.2,dependency_truth,0.0,,1.0,,0.0,,0.0,,0.0,,0.9995238095238095,,0.9995238095238095,,1.3034541460001492,
synthetic-control,0.2,iterative_truth,0.0,,1.0,,0.00932791070724033,,0.0,,0.009814498683880176,,0.9995238095238095,,0.9995238095238095,,0.9640741359999083,
synthetic-control,0.2,no_repair,0.8068100741494894,,0.0,,0.0,,0.8068100741494894,,0.0,,0.559047619047619,,0.559047619047619,,0.3037286510002559,
synthetic-control,0.2,parc,0.0,,1.0,,0.0,,0.0,,0.0,,0.9995238095238095,,0.9995238095238095,,1.5001981749996958,
