suite,dataset,budget,seed,method,n_entities,n_sources,n_records,n_attacked_records,description,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall
external_tabular,iris,0.2,21,no_repair,150,12,1373,226,"Fisher iris measurements, 150 rows, 4 numeric attributes, 3 classes",0.4352380952380952,0.4352380952380952,1.130112010560441,0.3333333333333333,0.0,0.1402519479997863,150.0,1.0,1.0,1.0,0.0,0.0,0.523293172690763,0.269500233535731,0.2857664900420245,0.7304997664642691
external_tabular,iris,0.2,21,majority,150,12,1373,226,"Fisher iris measurements, 150 rows, 4 numeric attributes, 3 classes",0.9923809523809524,0.9923809523809524,0.0177277968668103,0.6733333333333333,0.9843132391292624,0.1729111500003455,150.0,1.0,1.0,1.0,0.0,0.0,0.0036144578313253,0.0051377860812704,0.9874826147426982,0.9948622139187296
external_tabular,iris,0.2,21,iterative_truth,150,12,1373,226,"Fisher iris measurements, 150 rows, 4 numeric attributes, 3 classes",1.0,1.0,0.0,0.6777777777777778,1.0,0.4488343230000282,150.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,iris,0.2,21,dependency_truth,150,12,1373,226,"Fisher iris measurements, 150 rows, 4 numeric attributes, 3 classes",1.0,1.0,0.0,0.6777777777777778,1.0,0.6217556310002692,150.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,iris,0.2,21,parc,150,12,1373,226,"Fisher iris measurements, 150 rows, 4 numeric attributes, 3 classes",1.0,1.0,0.0,0.6777777777777778,1.0,0.6787592159998894,150.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,wine,0.2,21,no_repair,178,12,1611,255,"UCI wine recognition, 178 rows, 13 numeric attributes, 3 classes",0.4333868378812199,0.4333868378812199,1.0853929081181024,0.3014981273408239,0.0,0.15463326400004,178.0,1.0,1.0,1.0,0.0,0.0,0.5276711091032302,0.306231943871234,0.2645994018573902,0.693768056128766
external_tabular,wine,0.2,21,majority,178,12,1611,255,"UCI wine recognition, 178 rows, 13 numeric attributes, 3 classes",0.9895666131621188,0.9895666131621188,0.0765783893267223,0.7153558052434457,0.9294463887188124,0.260817212999882,178.0,1.0,1.0,1.0,0.0,0.0,0.0054212785181838,0.0185720181593066,0.9802143446001648,0.9814279818406934
external_tabular,wine,0.2,21,iterative_truth,178,12,1611,255,"UCI wine recognition, 178 rows, 13 numeric attributes, 3 classes",1.0,1.0,0.0,0.7265917602996255,1.0,0.4773449780000192,178.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,wine,0.2,21,dependency_truth,178,12,1611,255,"UCI wine recognition, 178 rows, 13 numeric attributes, 3 classes",0.9991974317817014,0.9991974317817014,0.0,0.7265917602996255,1.0,0.6764707160000398,178.0,1.0,1.0,1.0,0.0,0.0,0.0002258866049243,0.0012381345439537,0.9991742361684558,0.9987618654560462
external_tabular,wine,0.2,21,parc,178,12,1611,255,"UCI wine recognition, 178 rows, 13 numeric attributes, 3 classes",0.9991974317817014,0.9991974317817014,0.0,0.7265917602996255,1.0,0.7519817819998025,178.0,1.0,1.0,1.0,0.0,0.0,0.0002258866049243,0.0012381345439537,0.9991742361684558,0.9987618654560462
external_tabular,breast_cancer,0.2,21,no_repair,300,12,2695,425,"Wisconsin diagnostic breast-cancer measurements, 569 rows, 30 numeric attributes, 2 classes",0.4376190476190476,0.4376190476190476,1.234864110125623,0.3255555555555556,0.0,0.2455175850000159,300.0,1.0,1.0,1.0,0.0,0.0,0.5240703964938711,0.2904739558892539,0.2832256251756111,0.7095260441107462
external_tabular,breast_cancer,0.2,21,majority,300,12,2695,425,"Wisconsin diagnostic breast-cancer measurements, 569 rows, 30 numeric attributes, 2 classes",0.9928571428571428,0.9928571428571428,0.0418106880948186,0.6666666666666667,0.9661414662941616,0.4063169619998916,300.0,1.0,1.0,1.0,0.0,0.0,0.0036978703006231,0.010323791647114,0.9873595505617978,0.989676208352886
external_tabular,breast_cancer,0.2,21,iterative_truth,300,12,2695,425,"Wisconsin diagnostic breast-cancer measurements, 569 rows, 30 numeric attributes, 2 classes",1.0,1.0,0.0,0.6733333333333333,1.0,0.8949006650000229,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,breast_cancer,0.2,21,dependency_truth,300,12,2695,425,"Wisconsin diagnostic breast-cancer measurements, 569 rows, 30 numeric attributes, 2 classes",0.9995238095238096,0.9995238095238096,0.0,0.6733333333333333,1.0,1.2311684660003266,300.0,1.0,1.0,1.0,0.0,0.0,0.0001369581592823,0.0007038948850305,0.999530626613471,0.9992961051149696
external_tabular,breast_cancer,0.2,21,parc,300,12,2695,425,"Wisconsin diagnostic breast-cancer measurements, 569 rows, 30 numeric attributes, 2 classes",0.9995238095238096,0.9995238095238096,0.0,0.6733333333333333,1.0,1.4594277740002326,300.0,1.0,1.0,1.0,0.0,0.0,0.0001369581592823,0.0007038948850305,0.999530626613471,0.9992961051149696
external_tabular,diabetes,0.2,21,no_repair,300,12,2695,425,"diabetes regression table, 442 rows, 10 numeric attributes",0.4457142857142857,0.4457142857142857,1.1639922510537208,0.3577777777777777,0.0,0.3031813239999792,300.0,1.0,1.0,1.0,0.0,0.0,0.5186179134518618,0.3083333333333333,0.2616295730251218,0.6916666666666667
external_tabular,diabetes,0.2,21,majority,300,12,2695,425,"diabetes regression table, 442 rows, 10 numeric attributes",0.9938095238095238,0.9938095238095238,0.0310413050634673,0.8411111111111111,0.9733320346115992,0.3578806410000652,300.0,1.0,1.0,1.0,0.0,0.0,0.0034216705803421,0.0113636363636363,0.98714069591528,0.9886363636363636
external_tabular,diabetes,0.2,21,iterative_truth,300,12,2695,425,"diabetes regression table, 442 rows, 10 numeric attributes",1.0,1.0,0.0,0.8511111111111112,1.0,1.1023784639996848,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
external_tabular,diabetes,0.2,21,dependency_truth,300,12,2695,425,"diabetes regression table, 442 rows, 10 numeric attributes",0.9995238095238096,0.9995238095238096,0.0,0.8511111111111112,1.0,1.243799831999695,300.0,1.0,1.0,1.0,0.0,0.0,0.0001341831600134,0.0007575757575757,0.9994948219247284,0.9992424242424244
external_tabular,diabetes,0.2,21,parc,300,12,2695,425,"diabetes regression table, 442 rows, 10 numeric attributes",0.9995238095238096,0.9995238095238096,0.0,0.8511111111111112,1.0,1.4131588250002096,300.0,1.0,1.0,1.0,0.0,0.0,0.0001341831600134,0.0007575757575757,0.9994948219247284,0.9992424242424244
external_tabular,digits,0.2,21,no_repair,300,12,2695,425,"digits handwritten-image feature table, deterministically subsampled to 600 rows",0.4523809523809524,0.4523809523809524,1.1760430502830503,0.3888888888888888,0.0,0.2739607080002315,300.0,1.0,1.0,1.0,0.0,0.0,0.5123005319148937,0.3184313725490196,0.2528122575640031,0.6815686274509803
