suite,budget,method,cert_kind,point_distortion_mean,point_distortion_std,coverage_mean,coverage_std,mean_relative_width_mean,mean_relative_width_std,miss_distance_mean,miss_distance_std,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,runtime_sec_mean,runtime_sec_std
public-tabular,0.2,dependency_truth,baseline-candidate-certificate,0.00029563091100283996,0.0006610508132525408,1.0,0.0,0.015384241973348959,0.031954084012164666,0.0,0.0,0.9993932584269662,0.0005949912618472572,0.9993932584269662,0.0005949912618472572,1.008285170199997,0.3467745191761676
public-tabular,0.2,iterative_truth,baseline-candidate-certificate,0.0015378133975133001,0.0028988067159269396,0.95,0.1118033988749895,73854.1089065237,165142.79431849511,5.084541766156116e-06,1.1369381023561915e-05,0.9978394863563403,0.0035865958647013176,0.9978394863563403,0.0035865958647013176,0.7100510399999621,0.2602803472967435
public-tabular,0.2,no_repair,point-output,1.0075032628991791,0.0866385155483341,0.0,0.0,0.0,0.0,1.0075032628991791,0.0866385155483341,0.5547244515783841,0.008004122101822232,0.5547244515783841,0.008004122101822232,0.25822149900004654,0.08340149778648241
public-tabular,0.2,parc,parc-certificate,0.0001678623016104,0.0003753515172604269,1.0,0.0,0.015384241973348959,0.031954084012164666,0.0,0.0,0.999553772070626,0.0002867015125088554,0.999553772070626,0.0002867015125088554,1.0697727090000626,0.34232603338052453
synthetic-control,0.2,dependency_truth,baseline-candidate-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238096,,0.9995238095238096,,1.1849800200002392,
synthetic-control,0.2,iterative_truth,baseline-candidate-certificate,0.0,,1.0,,0.0098144986838801,,0.0,,0.9995238095238096,,0.9995238095238096,,0.8937034170003244,
synthetic-control,0.2,no_repair,point-output,0.8068100741494894,,0.0,,0.0,,0.8068100741494894,,0.559047619047619,,0.559047619047619,,0.2756416869997338,
synthetic-control,0.2,parc,parc-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238096,,0.9995238095238096,,1.279396564999843,
