method,integrated_quality_mean,integrated_quality_std,cell_accuracy_mean,cell_accuracy_std,aggregate_distortion_mean,aggregate_distortion_std,false_positive_rate_mean,false_positive_rate_std,runtime_sec_mean,runtime_sec_std,entity_f1_mean,entity_f1_std
parc,0.9690212698412699,0.01457984746590314,0.9794285714285713,0.009143601160203293,0.010761886239418279,0.010030938484166179,0.00614253481978514,0.004062132879467492,0.6819987341999194,0.01423814419921209,0.9893333333333334,0.005962847939999479
dependency_truth,0.9687387301587302,0.014487632217736437,0.9791428571428572,0.008980957430690892,0.01164246136166542,0.007694602127253564,0.006319749884029819,0.0038819872543125696,0.6249710001999802,0.029536036322276252,0.9893333333333334,0.005962847939999479
source_dependence,0.9579101587301586,0.016054416808709563,0.968190476190476,0.010692570587077524,0.0310645370403201,0.016289878081932573,0.01235465797009912,0.005517931007881177,0.26543175099994865,0.008175286488575942,0.9893333333333334,0.005962847939999479
iterative_truth,0.9299844444444444,0.03202518402274379,0.939904761904762,0.02764858847110355,0.26995999358078626,0.13630902151987795,0.035574845834465005,0.018704509644064168,0.46946230380006,0.01467936387925257,0.9893333333333334,0.005962847939999479
standard_fd,0.9011034920634919,0.019737966485624963,0.9107619047619047,0.015483880873134572,0.31181733762282315,0.05189151652029389,0.055583565574350055,0.008746487489187943,0.20056741880005116,0.009460833035203,0.9893333333333334,0.005962847939999479
rule_only,0.9011034920634919,0.019737966485624963,0.9107619047619047,0.015483880873134572,0.31181733762282315,0.05189151652029389,0.055583565574350055,0.008746487489187943,0.20043353280003653,0.017216622668439572,0.9893333333333334,0.005962847939999479
outlier_removal,0.9011034920634919,0.019737966485624963,0.9107619047619047,0.015483880873134572,0.31067392624464624,0.05127019905741854,0.055583565574350055,0.008746487489187943,0.272540195800218,0.0078025402292226645,0.9893333333333334,0.005962847939999479
majority,0.9003523809523809,0.01989091851714701,0.9099999999999999,0.01545969817214092,0.31181733762282315,0.05189151652029389,0.05424106558012608,0.00825165044429084,0.22528158719982225,0.017864907460805424,0.9893333333333334,0.005962847939999479
random_weighting,0.8737047619047619,0.036750853723867466,0.8830476190476191,0.03452397372703154,0.45057696328693375,0.22662504336804457,0.08131227436272186,0.027322110530800334,0.18190384319999564,0.0060721556206556615,0.9893333333333334,0.005962847939999479
provenance_unaware,0.8355,0.03422715683935962,0.8443809523809523,0.03006493350661812,0.6310960878196376,0.15105177238117673,0.11326506172800299,0.02377794744419093,0.17848275379983528,0.0023180221350278625,0.9893333333333334,0.005962847939999479
no_repair,0.5097673015873017,0.050443864668968885,0.5151428571428571,0.049442928459014,1.082641187666719,0.11396033057492824,0.4398971657404818,0.039931430438290845,0.16190295679995184,0.026751193928062397,0.9893333333333334,0.005962847939999479
