dataset,budget,method,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean
breast_cancer,0.2,dependency_truth,0.0029587191742100273,0.00173360953688075,1.1706346900000142,0.0,569.0
breast_cancer,0.2,iterative_truth,0.013725909484374955,0.0038469661624688624,0.8764736029999938,0.0,569.0
breast_cancer,0.2,majority,0.029789244644547627,0.012541055766156037,0.3549351149999893,0.0,569.0
breast_cancer,0.2,no_repair,0.8138185194887506,0.19384360981111065,0.2891851259999782,0.0,569.0
breast_cancer,0.2,parc,0.0028031271855887274,0.0019135614006044323,1.2863508540000057,0.0,569.0
breast_cancer,0.3,dependency_truth,0.0014195733435544,0.0,1.1776249890000088,0.0,569.0
breast_cancer,0.3,iterative_truth,0.0693426661332725,0.030638147981292246,0.8716445940000028,0.0,569.0
breast_cancer,0.3,majority,0.230524896948654,0.11509692795725437,0.3269822279999914,0.0,569.0
breast_cancer,0.3,no_repair,1.006021149996907,0.44882796573459505,0.23945680900001773,0.0,569.0
breast_cancer,0.3,parc,0.0011750716471495,0.0,1.2910627419999798,0.0,569.0
diabetes,0.2,dependency_truth,0.0006003269977629786,0.0012958553067188433,0.9146304280000096,0.0,442.0
diabetes,0.2,iterative_truth,0.01842323279910717,0.00899196967978488,0.7347369009999056,0.0,442.0
diabetes,0.2,majority,0.05677235370627632,0.02341501797176536,0.2784752300001401,0.0,442.0
diabetes,0.2,no_repair,0.9288965747676561,0.3307958683728174,0.2169549980001193,0.0,442.0
diabetes,0.2,parc,0.0006139528442388295,0.001295855306718851,1.0479433089999477,0.0,442.0
diabetes,0.3,dependency_truth,0.0005644999506247728,0.0013384985713403694,0.9454776260001836,0.0,442.0
diabetes,0.3,iterative_truth,0.0840461634958327,0.04035954949296444,0.6598678820000714,0.0,442.0
diabetes,0.3,majority,0.24780694431622383,0.12089969337728343,0.3001513259998773,0.0,442.0
diabetes,0.3,no_repair,1.020034558681548,0.43802115917097495,0.1901773089998641,0.0,442.0
diabetes,0.3,parc,0.0005644999506247728,0.0013384985713403694,1.037231004999967,0.0,442.0
iris,0.2,dependency_truth,0.010207735028933518,0.003993707409608207,0.3171755239999925,0.0,150.0
iris,0.2,iterative_truth,0.036243615821601884,0.009722473158395632,0.2511033000000111,0.0,150.0
iris,0.2,majority,0.027565128661255836,0.016013778002608014,0.0938019929999995,0.0,150.0
iris,0.2,no_repair,0.9653902510046009,0.2329987422285654,0.0798045829999978,0.0,150.0
iris,0.2,parc,0.0112287630836346,0.003439317100951681,0.3346573480000074,0.0,150.0
iris,0.3,dependency_truth,0.016655669266186928,0.0060497375999473395,0.2930120430000045,0.0,150.0
iris,0.3,iterative_truth,0.10698665085424147,0.04293529303194178,0.22367762199999672,0.0,150.0
iris,0.3,majority,0.24324442444360905,0.10991630102928876,0.1344072999999923,0.0,150.0
iris,0.3,no_repair,0.9793223627575034,0.3873031596792779,0.067223427000016,0.0,150.0
iris,0.3,parc,0.016655669266186928,0.0060497375999473395,0.3249408570000014,0.0,150.0
wine,0.2,dependency_truth,0.0009199123411012,0.0,0.3696629940000093,0.0,178.0
wine,0.2,iterative_truth,0.016689750618521373,0.009901960262966584,0.2756738159999941,0.0,178.0
wine,0.2,majority,0.03215667629096714,0.01579901027166313,0.1062574059999974,0.0,178.0
wine,0.2,no_repair,0.9021379589153417,0.2610155450657518,0.0891375100000004,0.0,178.0
wine,0.2,parc,0.0009199123411012,0.0,0.3943854480000084,0.0,178.0
wine,0.3,dependency_truth,0.008135856963058,0.0,0.3639409280000052,0.0,178.0
wine,0.3,iterative_truth,0.05386818340792221,0.02367111535205319,0.2524093689999915,0.0,178.0
wine,0.3,majority,0.1428916150875746,0.06643082199460011,0.10576466399999161,0.0,178.0
wine,0.3,no_repair,1.0993709809328893,0.44902072288899075,0.12474754600000891,0.0,178.0
wine,0.3,parc,0.008135856963058,0.0,0.3872442809999938,0.0,178.0
