suite,budget,method,margin_threshold,width_threshold,certified_fraction_mean,certified_fraction_std,conditional_coverage_mean,conditional_coverage_std,mean_certified_width_mean,mean_certified_width_std,mean_relative_miss_mean,mean_relative_miss_std,certified_groups_sum,n_groups_sum
public-tabular,0.2,parc,1.5,0.5,1.0,0.0,1.0,0.0,0.25251124866943614,0.05434716974671829,0.0,0.0,8,8
public-tabular,0.2,parc,1.5,1.0,1.0,0.0,1.0,0.0,0.25251124866943614,0.05434716974671829,0.0,0.0,8,8
public-tabular,0.2,parc,2.0,0.01,0.0,0.0,0.0,0.0,,,0.0,0.0,0,8
public-tabular,0.2,parc,2.0,0.02,0.0,0.0,0.0,0.0,,,0.0,0.0,0,8
public-tabular,0.2,parc,2.0,0.05,0.0,0.0,0.0,0.0,,,0.0,0.0,0,8
public-tabular,0.2,parc,2.0,0.1,0.1111111111111111,0.19245008972987526,0.3333333333333333,0.5773502691896258,0.09544164152092381,,0.0,0.0,1,8
public-tabular,0.2,parc,2.0,0.25,0.5,0.16666666666666663,1.0,0.0,0.18825494640032783,0.0688220794392413,0.0,0.0,4,8
public-tabular,0.2,parc,2.0,0.5,1.0,0.0,1.0,0.0,0.25251124866943614,0.05434716974671829,0.0,0.0,8,8
public-tabular,0.2,parc,2.0,1.0,1.0,0.0,1.0,0.0,0.25251124866943614,0.05434716974671829,0.0,0.0,8,8
public-tabular,0.35,dependency_truth,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,dependency_truth,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,dependency_truth,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,dependency_truth,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,dependency_truth,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,dependency_truth,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,dependency_truth,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,parc,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,parc,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,parc,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,parc,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,parc,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,parc,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,parc,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,parc,1.0,0.01,0.31666666666666665,0.16072751268321592,0.0,0.0,0.0,0.0,481109.55555555556,90275.30781961324,5,15
public-tabular,0.35,parc,1.0,0.02,0.31666666666666665,0.16072751268321592,0.0,0.0,0.0,0.0,481109.55555555556,90275.30781961324,5,15
public-tabular,0.35,parc,1.0,0.05,0.31666666666666665,0.16072751268321592,0.0,0.0,0.0,0.0,481109.55555555556,90275.30781961324,5,15
public-tabular,0.35,parc,1.0,0.1,0.31666666666666665,0.16072751268321592,0.0,0.0,0.0,0.0,481109.55555555556,90275.30781961324,5,15
public-tabular,0.35,parc,1.0,0.25,0.31666666666666665,0.16072751268321592,0.0,0.0,0.0,0.0,481109.55555555556,90275.30781961324,5,15
public-tabular,0.35,parc,1.0,0.5,0.31666666666666665,0.16072751268321592,0.0,0.0,0.0,0.0,481109.55555555556,90275.30781961324,5,15
public-tabular,0.35,parc,1.0,1.0,0.4388888888888889,0.21103799903580642,0.25,0.25,0.2092546818008405,0.23274479713206697,481109.55555555556,90275.30781961324,7,15
public-tabular,0.35,parc,1.5,0.01,0.13888888888888887,0.1272937693043289,0.0,0.0,0.0,0.0,304592.6666666667,292705.02688087424,2,15
public-tabular,0.35,parc,1.5,0.02,0.13888888888888887,0.1272937693043289,0.0,0.0,0.0,0.0,304592.6666666667,292705.02688087424,2,15
public-tabular,0.35,parc,1.5,0.05,0.13888888888888887,0.1272937693043289,0.0,0.0,0.0,0.0,304592.6666666667,292705.02688087424,2,15
public-tabular,0.35,parc,1.5,0.1,0.13888888888888887,0.1272937693043289,0.0,0.0,0.0,0.0,304592.6666666667,292705.02688087424,2,15
public-tabular,0.35,parc,1.5,0.25,0.13888888888888887,0.1272937693043289,0.0,0.0,0.0,0.0,304592.6666666667,292705.02688087424,2,15
public-tabular,0.35,parc,1.5,0.5,0.13888888888888887,0.1272937693043289,0.0,0.0,0.0,0.0,304592.6666666667,292705.02688087424,2,15
public-tabular,0.35,parc,1.5,1.0,0.20555555555555557,0.041943524640393054,0.3333333333333333,0.5773502691896258,0.3066188303483737,0.5310793927207252,304592.6666666667,292705.02688087424,3,15
public-tabular,0.35,parc,2.0,0.01,0.08333333333333333,0.14433756729740646,0.0,0.0,0.0,,194583.33333333334,337028.219639444,1,15
public-tabular,0.35,parc,2.0,0.02,0.08333333333333333,0.14433756729740646,0.0,0.0,0.0,,194583.33333333334,337028.219639444,1,15
public-tabular,0.35,parc,2.0,0.05,0.08333333333333333,0.14433756729740646,0.0,0.0,0.0,,194583.33333333334,337028.219639444,1,15
public-tabular,0.35,parc,2.0,0.1,0.08333333333333333,0.14433756729740646,0.0,0.0,0.0,,194583.33333333334,337028.219639444,1,15
public-tabular,0.35,parc,2.0,0.25,0.08333333333333333,0.14433756729740646,0.0,0.0,0.0,,194583.33333333334,337028.219639444,1,15
public-tabular,0.35,parc,2.0,0.5,0.08333333333333333,0.14433756729740646,0.0,0.0,0.0,,194583.33333333334,337028.219639444,1,15
public-tabular,0.35,parc,2.0,1.0,0.15,0.13228756555322954,0.3333333333333333,0.5773502691896258,0.45992824552256056,0.6504367625364679,194583.33333333334,337028.219639444,2,15
synthetic-control,0.2,dependency_truth,0.0,0.01,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,dependency_truth,0.0,0.02,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,dependency_truth,0.0,0.05,1.0,,1.0,,0.0,,0.0,,12,12
