Method,integrated_quality_mean,cell_accuracy_mean,entity_f1_mean,aggregate_distortion_mean,false_negative_rate_mean
Aggressive name ER,0.986682612463862,0.9916190476190476,0.9950259702346336,0.0624976792651947,0.011804740378368
PARC,0.9781111111111112,0.9846666666666668,0.9933333333333334,0.0102391247151373,0.0054571033201677
No schema repair,0.9776387301587304,0.984190476190476,0.9933333333333334,0.0103054818276865,0.0057728691462792
No constraints,0.9758380952380954,0.9823809523809524,0.9933333333333334,0.0104046608276264,0.0072791157161648
No trust update,0.972144126984127,0.9786666666666668,0.9933333333333334,0.0347591045652751,0.0145484936609581
No provenance cap,0.9408520634920636,0.9472380952380952,0.9933333333333334,0.277715850682748,0.0541413235993354
