dataset,budget,method,query,seed_mean,seed_std,seed_min,seed_max,query_l1_distortion_mean,query_l1_distortion_std,query_l1_distortion_min,query_l1_distortion_max,runtime_sec_mean,runtime_sec_std,runtime_sec_min,runtime_sec_max
iris,0.17,dependency_truth,category_join_filter,41.5,0.7071067811865476,41,42,0.00159028594723655,0.0008203004204430407,0.0010102459573311,0.002170325937142,1.444958930499979,0.12205753896909914,1.3586512169999878,1.5312666439999705
iris,0.17,dependency_truth,geo_join_groupby,41.5,0.7071067811865476,41,42,0.00827791819540695,0.011706744180159524,0.0,0.0165558363908139,1.444958930499979,0.12205753896909914,1.3586512169999878,1.5312666439999705
iris,0.17,dependency_truth,having_top_groups,41.5,0.7071067811865476,41,42,0.0026754489158076,0.002354952607981268,0.0010102459573311,0.0043406518742841,1.444958930499979,0.12205753896909914,1.3586512169999878,1.5312666439999705
iris,0.17,dependency_truth,selection_groupby,41.5,0.7071067811865476,41,42,0.0026754489158076,0.002354952607981268,0.0010102459573311,0.0043406518742841,1.444958930499979,0.12205753896909914,1.3586512169999878,1.5312666439999705
iris,0.17,no_repair,category_join_filter,41.5,0.7071067811865476,41,42,0.8078330440859589,0.031665897932848006,0.785441872925281,0.8302242152466368,0.3478315190000103,0.08182389497513172,0.2899732879999988,0.4056897500000218
iris,0.17,no_repair,geo_join_groupby,41.5,0.7071067811865476,41,42,0.6672947178382156,0.11324233083289142,0.5872202977889076,0.7473691378875236,0.3478315190000103,0.08182389497513172,0.2899732879999988,0.4056897500000218
iris,0.17,no_repair,having_top_groups,41.5,0.7071067811865476,41,42,1.0014781744414032,0.04878459991574283,0.9669822530235086,1.0359740958592976,0.3478315190000103,0.08182389497513172,0.2899732879999988,0.4056897500000218
iris,0.17,no_repair,selection_groupby,41.5,0.7071067811865476,41,42,1.0276376603964048,0.05109614300603319,0.9915072311843612,1.0637680896084485,0.3478315190000103,0.08182389497513172,0.2899732879999988,0.4056897500000218
iris,0.17,parc,category_join_filter,41.5,0.7071067811865476,41,42,0.001085162968571,0.001534652187538157,0.0,0.002170325937142,1.4865020204999837,0.3354806527267649,1.249281375999999,1.7237226649999684
iris,0.17,parc,geo_join_groupby,41.5,0.7071067811865476,41,42,0.0077727952167414,0.01099239241306441,0.0,0.0155455904334828,1.4865020204999837,0.3354806527267649,1.249281375999999,1.7237226649999684
iris,0.17,parc,having_top_groups,41.5,0.7071067811865476,41,42,0.00217032593714205,0.0030693043750763846,0.0,0.0043406518742841,1.4865020204999837,0.3354806527267649,1.249281375999999,1.7237226649999684
iris,0.17,parc,selection_groupby,41.5,0.7071067811865476,41,42,0.00217032593714205,0.0030693043750763846,0.0,0.0043406518742841,1.4865020204999837,0.3354806527267649,1.249281375999999,1.7237226649999684
iris,0.27,dependency_truth,category_join_filter,41.5,0.7071067811865476,41,42,0.00483024479257655,0.00376169332016746,0.002170325937142,0.0074901636480111,1.3269918780000012,0.16443468383217488,1.2107189980000044,1.443264757999998
iris,0.27,dependency_truth,geo_join_groupby,41.5,0.7071067811865476,41,42,0.0009438471842059,0.0013348014887116406,0.0,0.0018876943684118,1.3269918780000012,0.16443468383217488,1.2107189980000044,1.443264757999998
iris,0.27,dependency_truth,having_top_groups,41.5,0.7071067811865476,41,42,0.00915536660648765,0.006809034873239805,0.0043406518742841,0.0139700813386912,1.3269918780000012,0.16443468383217488,1.2107189980000044,1.443264757999998
iris,0.27,dependency_truth,selection_groupby,41.5,0.7071067811865476,41,42,0.00915536660648765,0.006809034873239805,0.0043406518742841,0.0139700813386912,1.3269918780000012,0.16443468383217488,1.2107189980000044,1.443264757999998
iris,0.27,no_repair,category_join_filter,41.5,0.7071067811865476,41,42,0.8332721216003727,0.005601343216876985,0.8293113738279657,0.8372328693727797,0.33023728000000574,0.04779173937961808,0.2964434169999776,0.3640311430000338
