budget,method,seed_mean,seed_std,n_entities_mean,n_entities_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,n_duplicates_mean,n_duplicates_std,n_schema_sources_mean,n_schema_sources_std,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std
0.25,dependency_truth,31.0,0.0,164.0,19.79898987322333,1601.5,174.65537495307723,364.5,34.64823227814083,175.5,14.849242404917497,1.0,0.0,0.9865864098448368,0.0014603703453076927,0.9865864098448368,0.0014603703453076927,0.06146792665177507,0.028501914731558144,0.7059300873907616,0.03981337806680809,0.9348699199292428,0.03566967804912462,0.7393509679999966,0.03884623472836659,164.0,19.79898987322333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006278942004278748,0.0022896009841622254,0.024365813524397283,0.015061519822132174,0.9745963787250095,0.014214153289110196,0.9756341864756027,0.015061519822132174
0.25,iterative_truth,31.0,0.0,164.0,19.79898987322333,1601.5,174.65537495307723,364.5,34.64823227814083,175.5,14.849242404917497,1.0,0.0,0.9553023006955591,0.018946981060365024,0.9553023006955591,0.018946981060365024,0.4803974095695044,0.16560337427727256,0.7190886392009987,0.02385271564002561,0.5103414392425714,0.12374496834854071,0.5414511599999798,0.02691520221040165,164.0,19.79898987322333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02591425872251689,0.010729639320663432,0.13256167221781834,0.01061342982062186,0.9000478111155757,0.019751529807790543,0.8674383277821817,0.010613429820621929
0.25,majority,31.0,0.0,164.0,19.79898987322333,1601.5,174.65537495307723,364.5,34.64823227814083,175.5,14.849242404917497,1.0,0.0,0.9667576243980738,0.009556724073179429,0.9667576243980738,0.009556724073179429,0.3498923602328876,0.06714874894521615,0.7051685393258427,0.03559368965972739,0.6406969981498498,0.03471207167456783,0.272987320000027,0.08481057401168984,164.0,19.79898987322333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018274768336439866,0.004078481378785879,0.1111421083489548,0.005529841112387788,0.9275055937804078,6.286728570196409e-05,0.8888578916510452,0.005529841112387753
0.25,no_repair,31.0,0.0,164.0,19.79898987322333,1601.5,174.65537495307723,364.5,34.64823227814083,175.5,14.849242404917497,1.0,0.0,0.6399250936329588,0.005281546637434018,0.6399250936329588,0.005281546637434018,0.969304583077855,0.09324213438356653,0.46724094881398254,0.003954854406636402,0.0,0.0,0.16963979549998953,0.006448787681502956,164.0,19.79898987322333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.304977438116779,0.011306431061573335,0.31994054200560446,0.05688415079901512,0.36752588751739856,0.06128118168742312,0.6800594579943955,0.05688415079901508
0.25,parc,31.0,0.0,164.0,19.79898987322333,1601.5,174.65537495307723,364.5,34.64823227814083,175.5,14.849242404917497,1.0,0.0,0.9865864098448368,0.0014603703453076927,0.9865864098448368,0.0014603703453076927,0.0675168851671013,0.019947395560951566,0.7059300873907616,0.03981337806680809,0.9290268520122567,0.027406332155055644,0.7616620969999985,0.02799889143588266,164.0,19.79898987322333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006152997419895877,0.0024677135235039245,0.024573627323233524,0.014767626729369685,0.9750022661177626,0.014788164744737925,0.9754263726767665,0.014767626729369638
