dataset,budget,method,seed_mean,seed_std,seed_min,seed_max,n_entities_mean,n_entities_std,n_entities_min,n_entities_max,n_records_mean,n_records_std,n_records_min,n_records_max,n_attacked_records_mean,n_attacked_records_std,n_attacked_records_min,n_attacked_records_max,cell_accuracy_mean,cell_accuracy_std,cell_accuracy_min,cell_accuracy_max,integrated_quality_mean,integrated_quality_std,integrated_quality_min,integrated_quality_max,aggregate_distortion_mean,aggregate_distortion_std,aggregate_distortion_min,aggregate_distortion_max,data_quality_score_mean,data_quality_score_std,data_quality_score_min,data_quality_score_max,attack_success_reduction_mean,attack_success_reduction_std,attack_success_reduction_min,attack_success_reduction_max,runtime_sec_mean,runtime_sec_std,runtime_sec_min,runtime_sec_max,n_output_rows_mean,n_output_rows_std,n_output_rows_min,n_output_rows_max,entity_precision_mean,entity_precision_std,entity_precision_min,entity_precision_max,entity_recall_mean,entity_recall_std,entity_recall_min,entity_recall_max,entity_f1_mean,entity_f1_std,entity_f1_min,entity_f1_max,duplicate_output_rate_mean,duplicate_output_rate_std,duplicate_output_rate_min,duplicate_output_rate_max,missing_entity_rate_mean,missing_entity_rate_std,missing_entity_rate_min,missing_entity_rate_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_min,false_negative_rate_max,repair_precision_mean,repair_precision_std,repair_precision_min,repair_precision_max,repair_recall_mean,repair_recall_std,repair_recall_min,repair_recall_max
iris,0.17,dependency_truth,41.5,0.7071067811865476,41,42,150.0,0.0,150,150,1324.0,5.656854249492381,1320,1328,193.0,9.899494936611665,186,200,0.9980952380952381,0.0013468700594029507,0.9971428571428572,0.9990476190476192,0.9980952380952381,0.0013468700594029507,0.9971428571428572,0.9990476190476192,0.0026754489158076,0.002354952607981268,0.0010102459573311,0.0043406518742841,0.6777777777777778,0.0,0.6777777777777778,0.6777777777777778,0.9973362409673769,0.0024240649369397585,0.9956221682124302,0.9990503137223236,1.444958930499979,0.12205753896909914,1.3586512169999878,1.5312666439999705,150.0,0.0,150.0,150.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049963182960775,0.0005139664470839954,0.0001362026695723,0.0008630609896432,0.0009033669355563,0.000532446521076388,0.000526870389884,0.0012798634812286,0.9984583372805587,0.001435133075452335,0.9974435449510012,0.999473129610116,0.9990966330644436,0.0005324465210765296,0.9987201365187712,0.999473129610116
iris,0.17,no_repair,41.5,0.7071067811865476,41,42,150.0,0.0,150,150,1324.0,5.656854249492381,1320,1328,193.0,9.899494936611665,186,200,0.500952380952381,0.04848732213850619,0.4666666666666667,0.5352380952380953,0.500952380952381,0.04848732213850619,0.4666666666666667,0.5352380952380953,1.0276376603964048,0.05109614300603319,0.9915072311843612,1.0637680896084485,0.3566666666666666,0.0015713484026367627,0.3555555555555555,0.3577777777777777,0.0,0.0,0.0,0.0,0.3478315190000103,0.08182389497513172,0.2899732879999988,0.4056897500000218,150.0,0.0,150.0,150.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4563558411510113,0.04768580696045601,0.4226368836829202,0.4900747986191024,0.23988112149667154,0.004996414578076691,0.2363481228668942,0.2434141201264489,0.33039936143612936,0.01984158189749253,0.3163692443269442,0.3444294785453146,0.7601188785033284,0.00499641457807673,0.7565858798735511,0.7636518771331058
iris,0.17,parc,41.5,0.7071067811865476,41,42,150.0,0.0,150,150,1324.0,5.656854249492381,1320,1328,193.0,9.899494936611665,186,200,0.9985714285714287,0.000673435029701652,0.998095238095238,0.9990476190476192,0.9985714285714287,0.000673435029701652,0.998095238095238,0.9990476190476192,0.00217032593714205,0.0030693043750763846,0.0,0.0043406518742841,0.6777777777777778,0.0,0.6777777777777778,0.6777777777777778,0.9978110841062151,0.0030955945438846206,0.9956221682124302,1.0,1.4865020204999837,0.3354806527267649,1.249281375999999,1.7237226649999684,150.0,0.0,150.0,150.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028386658219695,0.00020882830790685573,0.0001362026695723,0.0004315304948216,0.0006900563553515499,0.00023077980555315675,0.000526870389884,0.0008532423208191,0.9990969059564441,0.0005320605935085601,0.998720682302772,0.999473129610116,0.9993099436446484,0.00023077980555323438,0.9991467576791808,0.999473129610116
iris,0.27,dependency_truth,41.5,0.7071067811865476,41,42,150.0,0.0,150,150,1458.5,7.7781745930520225,1453,1464,377.5,24.748737341529164,360,395,0.9947619047619047,0.006060915267313376,0.9904761904761904,0.9990476190476192,0.9914603174603176,0.010730064806576815,0.983873015873016,0.9990476190476192,0.00915536660648765,0.006809034873239805,0.0043406518742841,0.0139700813386912,0.6777777777777778,0.0,0.6777777777777778,0.6777777777777778,0.9937092286812161,0.004894736150710214,0.99024812755693,0.9971703298055024,1.3269918780000012,0.16443468383217488,1.2107189980000044,1.443264757999998,150.0,0.0,150.0,150.0,0.9966666666666666,0.004714045207910426,0.9933333333333332,1.0,0.9966666666666666,0.004714045207910426,0.9933333333333332,1.0,0.9966666666666666,0.004714045207910426,0.9933333333333332,1.0,0.0033333333333333,0.00471404520791027,0.0,0.0066666666666666,0.0033333333333333,0.00471404520791027,0.0,0.0066666666666666,0.00071105202396535,0.0008150359555410728,0.0001347345728914,0.0012873694750393,0.00081570207565235,0.0006531475106521528,0.0003538570417551,0.0012775471095496,0.9983881224995306,0.0017791095944564104,0.9971301020408164,0.9996461429582448,0.9991842979243476,0.000653147510652131,0.9987224528904504,0.9996461429582448
iris,0.27,no_repair,41.5,0.7071067811865476,41,42,150.0,0.0,150,150,1458.5,7.7781745930520225,1453,1464,377.5,24.748737341529164,360,395,0.43476190476190474,0.047813887108804694,0.4009523809523809,0.4685714285714286,0.4334253968253968,0.049703994758833525,0.398279365079365,0.4685714285714286,1.4832658785161028,0.07171779430306509,1.4325537398326635,1.533978017199542,0.31666666666666665,0.04242640687119289,0.2866666666666666,0.3466666666666667,0.0,0.0,0.0,0.0,0.33023728000000574,0.04779173937961808,0.2964434169999776,0.3640311430000338,150.0,0.0,150.0,150.0,0.9966666666666666,0.004714045207910426,0.9933333333333332,1.0,0.9966666666666666,0.004714045207910426,0.9933333333333332,1.0,0.9966666666666666,0.004714045207910426,0.9933333333333332,1.0,0.0033333333333333,0.00471404520791027,0.0,0.0066666666666666,0.0033333333333333,0.00471404520791027,0.0,0.0066666666666666,0.5150376098522329,0.05327769312970286,0.4773645917542441,0.5527106279502217,0.26205961976925035,0.028233985362278648,0.2420951772596614,0.2820240622788393,0.3723067598695739,0.01154651718670554,0.3641421392677674,0.3804713804713804,0.7379403802307496,0.028233985362278648,0.7179759377211606,0.7579048227403385
iris,0.27,parc,41.5,0.7071067811865476,41,42,150.0,0.0,150,150,1458.5,7.7781745930520225,1453,1464,377.5,24.748737341529164,360,395,0.9947619047619047,0.006060915267313376,0.9904761904761904,0.9990476190476192,0.9914603174603176,0.010730064806576815,0.983873015873016,0.9990476190476192,0.01715524236600465,0.018122567669648513,0.0043406518742841,0.0299698328577252,0.6788888888888889,0.001571348402636704,0.6777777777777778,0.6799999999999999,0.9881248826723525,0.012792194013429172,0.9790794355392028,0.9971703298055024,1.6433395345000008,0.18167305408164278,1.5148772860000008,1.7718017830000008,150.0,0.0,150.0,150.0,0.9966666666666666,0.004714045207910426,0.9933333333333332,1.0,0.9966666666666666,0.004714045207910426,0.9933333333333332,1.0,0.9966666666666666,0.004714045207910426,0.9933333333333332,1.0,0.0033333333333333,0.00471404520791027,0.0,0.0066666666666666,0.0033333333333333,0.00471404520791027,0.0,0.0066666666666666,0.00071105202396535,0.0008150359555410728,0.0001347345728914,0.0012873694750393,0.0012947822417335,0.00133066917898807,0.0003538570417551,0.0022357074417119,0.9983867484660359,0.001781052771259817,0.997127353973827,0.9996461429582448,0.9987052177582665,0.001330669178988115,0.997764292558288,0.9996461429582448
wine,0.17,dependency_truth,41.0,,41,41,178.0,,178,178,1576.0,,1576,1576,223.0,,223,223,0.9991974317817014,,0.9991974317817014,0.9991974317817014,0.9991974317817014,,0.9991974317817014,0.9991974317817014,0.0,,0.0,0.0,0.7265917602996255,,0.7265917602996255,0.7265917602996255,1.0,,1.0,1.0,1.6182629859999906,,1.6182629859999906,1.6182629859999906,178.0,,178.0,178.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0002344391044426,,0.0002344391044426,0.0002344391044426,0.0007996801279488,,0.0007996801279488,0.0007996801279488,0.9992003198720512,,0.9992003198720512,0.9992003198720512,0.9992003198720512,,0.9992003198720512,0.9992003198720512
wine,0.17,no_repair,41.0,,41,41,178.0,,178,178,1576.0,,1576,1576,223.0,,223,223,0.5401284109149278,,0.5401284109149278,0.5401284109149278,0.5401284109149278,,0.5401284109149278,0.5401284109149278,1.133159676257181,,1.133159676257181,1.133159676257181,0.3913857677902621,,0.3913857677902621,0.3913857677902621,0.0,,0.0,0.0,0.3833148669999673,,0.3833148669999673,0.3833148669999673,178.0,,178.0,178.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.4184738014300785,,0.4184738014300785,0.4184738014300785,0.2167133146741303,,0.2167133146741303,0.2167133146741303,0.3543136190992946,,0.3543136190992946,0.3543136190992946,0.7832866853258696,,0.7832866853258696,0.7832866853258696
wine,0.17,parc,41.0,,41,41,178.0,,178,178,1576.0,,1576,1576,223.0,,223,223,0.9991974317817014,,0.9991974317817014,0.9991974317817014,0.9991974317817014,,0.9991974317817014,0.9991974317817014,0.0,,0.0,0.0,0.7265917602996255,,0.7265917602996255,0.7265917602996255,1.0,,1.0,1.0,1.8994952470000044,,1.8994952470000044,1.8994952470000044,178.0,,178.0,178.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0002344391044426,,0.0002344391044426,0.0002344391044426,0.0007996801279488,,0.0007996801279488,0.0007996801279488,0.9992003198720512,,0.9992003198720512,0.9992003198720512,0.9992003198720512,,0.9992003198720512,0.9992003198720512
wine,0.27,dependency_truth,41.0,,41,41,178.0,,178,178,1748.0,,1748,1748,462.0,,462,462,0.99438202247191,,0.99438202247191,0.99438202247191,0.99438202247191,,0.99438202247191,0.99438202247191,0.0097994139982833,,0.0097994139982833,0.0097994139982833,0.7265917602996255,,0.7265917602996255,0.7265917602996255,0.99254090188337,,0.99254090188337,0.99254090188337,1.5904902010000797,,1.5904902010000797,1.5904902010000797,178.0,,178.0,178.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0026675945256321,,0.0026675945256321,0.0026675945256321,0.0024903154399557,,0.0024903154399557,0.0024903154399557,0.9936604189636165,,0.9936604189636165,0.9936604189636165,0.9975096845600444,,0.9975096845600444,0.9975096845600444
