n_entities,method,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,group_precision_mean,group_precision_std,group_recall_mean,group_recall_std,group_f1_mean,group_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,n_duplicates_mean,n_duplicates_std
150,dependency_truth,0.9958730158730159,0.001982539047110483,0.9958730158730159,0.001982539047110483,0.0022910269366535666,0.0020478147518282522,1.0,0.0,0.9973779896605818,0.002362946439974618,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777778,0.0,0.8750000000000001,0.0,0.0,0.0,0.0,0.0,0.0020751316176427,0.0012007815011248085,0.005184567479012833,8.743309618918163e-05,0.9914942373167409,0.004518529445338731,0.994815432520987,8.743309618910758e-05,0.34917869699984294,0.013008057293873918,150.0,0.0,1201.6666666666667,10.016652800877841,188.33333333333334,7.023769168568497,52.0,2.0
150,majority,0.9876190476190477,0.003433858357584748,0.9876190476190477,0.003433858357584748,0.0407240537311532,0.016244855863323533,0.9807407407407407,0.008981004187394129,0.9552582355764558,0.017572865084394294,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005863374615944467,0.0014453734703115052,0.024137298616282363,0.010537928441484101,0.9747608515891617,0.007971427399325413,0.9758627013837176,0.010537928441484124,0.0940367319999495,0.0030383886259084305,150.0,0.0,1201.6666666666667,10.016652800877841,188.33333333333334,7.023769168568497,52.0,2.0
150,parc,0.9965079365079367,0.0010997147984564326,0.9965079365079367,0.0010997147984564326,0.0019989619100367665,0.001787252687752447,1.0,0.0,0.9977168143715985,0.0021102466650520014,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777778,0.0,0.8750000000000001,0.0,0.0,0.0,0.0,0.0,0.0016238055425706,0.0006734558877902208,0.004383147283749633,0.001406670973182435,0.9932714588224226,0.002150775192781124,0.9956168527162504,0.0014066709731824394,0.3241818540000167,0.014123946038856236,150.0,0.0,1201.6666666666667,10.016652800877841,188.33333333333334,7.023769168568497,52.0,2.0
300,dependency_truth,0.9963492063492064,0.0014547859349065585,0.9963492063492064,0.0014547859349065585,0.019240222442888134,0.014679832604214942,1.0,0.0,0.9788654577242122,0.015535576968958112,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7407407407407408,0.06415002990995845,0.8500000000000001,0.04330127018922199,0.0,0.0,0.0,0.0,0.0021682849422006664,0.0013611388233235671,0.0030197543026775,0.0011158139255481108,0.9915135794932907,0.004263322818167443,0.9969802456973224,0.0011158139255481078,0.6636132303331882,0.05078383156088631,300.0,0.0,2404.0,25.238858928247925,367.6666666666667,14.047538337136993,102.66666666666667,7.023769168568494
300,majority,0.9880952380952381,0.004068573212055891,0.9880952380952381,0.004068573212055891,0.05258291150064424,0.014069993090846201,0.9811111111111112,0.00867805519545189,0.9404459070515903,0.011804193823373334,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006183880052699199,0.002443544830213782,0.016266765790867468,0.0077272518862182464,0.9757610598013353,0.006548879406679992,0.9837332342091324,0.007727251886218264,0.24102660499981235,0.024680523438975525,300.0,0.0,2404.0,25.238858928247925,367.6666666666667,14.047538337136993,102.66666666666667,7.023769168568494
300,parc,0.9966666666666667,0.001428571428571418,0.9966666666666667,0.001428571428571418,0.01886582929615167,0.01487789296788484,1.0,0.0,0.9793050918827829,0.015843489796189356,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7407407407407408,0.06415002990995845,0.8500000000000001,0.04330127018922199,0.0,0.0,0.0,0.0,0.002093610677792033,0.0012311789584946659,0.002624618389890133,0.0010651285797614095,0.9918571960226344,0.003701847103527269,0.9973753816101096,0.0010651285797614214,0.714819579333683,0.0410628297062216,300.0,0.0,2404.0,25.238858928247925,367.6666666666667,14.047538337136993,102.66666666666667,7.023769168568494
600,dependency_truth,0.9936507936507937,0.0016206807822747387,0.9919943121693122,0.0020436883311905378,0.009530066761371733,0.0066244743972933605,1.0,0.0,0.9884683369679056,0.00741479393702489,0.9983333333333334,0.0016666666666665664,0.9983333333333334,0.0016666666666665664,0.9983333333333334,0.0016666666666665664,1.0,0.0,0.8148148148148149,0.16972502573910522,0.8916666666666667,0.10103629710818447,0.0016666666666666334,0.0016666666666666503,0.0016666666666666334,0.0016666666666666503,0.0024363873316909667,0.0007374228694712586,0.0049359699665189995,0.0035162734864391722,0.9899195752362546,0.002289141805709672,0.9950640300334809,0.0035162734864390885,1.2835807150001226,0.03335469817338991,600.0,0.0,4798.0,67.43886120034946,725.3333333333334,32.25419869309007,202.0,13.114877048604
600,majority,0.9857936507936508,0.0029769840211922743,0.984149074074074,0.0026176299774797137,0.055058397881800135,0.010707749494247302,0.9827777777777778,0.00640697921926149,0.9318097080258436,0.014178879669592479,0.9983333333333334,0.0016666666666665664,0.9983333333333334,0.0016666666666665664,0.9983333333333334,0.0016666666666665664,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666334,0.0016666666666666503,0.0016666666666666334,0.0016666666666666503,0.006743431395371834,0.0014788793529106308,0.018324047122208868,0.005396751125651684,0.9721490181313425,0.0034999126376539513,0.981675952877791,0.005396751125651736,0.3890876146667021,0.018587846557787346,600.0,0.0,4798.0,67.43886120034946,725.3333333333334,32.25419869309007,202.0,13.114877048604
600,parc,0.9939682539682538,0.0011251941967268743,0.9923119047619048,0.0021884360467149195,0.009232480026970066,0.006361647762984366,1.0,0.0,0.9888272107245485,0.0071193118377182625,0.9983333333333334,0.0016666666666665664,0.9983333333333334,0.0016666666666665664,0.9983333333333334,0.0016666666666665664,1.0,0.0,0.8148148148148149,0.16972502573910522,0.8916666666666667,0.10103629710818447,0.0016666666666666334,0.0016666666666666503,0.0016666666666666334,0.0016666666666666503,0.0023424377136291668,0.0004926070552375583,0.004645792258174233,0.002988003992347619,0.9902171049726288,0.001883934304394588,0.9953542077418257,0.0029880039923476614,1.373623200000111,0.03336501664334546,600.0,0.0,4798.0,67.43886120034946,725.3333333333334,32.25419869309007,202.0,13.114877048604
900,dependency_truth,0.9948148148148149,0.0008742175471882724,0.9937099941211053,0.0018868058733020024,0.009191115207020234,0.003238643837825107,1.0,0.0,0.9892468731508384,0.0035722128182389193,0.9988888888888888,0.0011111111111111321,0.9988888888888888,0.0011111111111111321,0.9988888888888888,0.0011111111111111321,1.0,0.0,0.7037037037037037,0.06415002990995845,0.8250000000000001,0.04330127018922195,0.0011111111111111,0.0011111111111111,0.0011111111111111,0.0011111111111111,0.0017078150315377333,0.00045136372486331074,0.004073018509739567,0.000633612522405028,0.993115985251193,0.002205597168072678,0.9959269814902604,0.0006336125224049589,1.960410875333461,0.16172118460726817,900.0,0.0,7176.333333333333,38.75994496040136,1082.6666666666667,24.68467810876485,298.0,15.620499351813308
900,majority,0.9846031746031746,0.0011111111111111183,0.9835099941211053,0.0022038801858099036,0.05035760929224986,0.013754869537888924,0.981358024691358,0.003960250600579118,0.940477978909353,0.017676982385537058,0.9988888888888888,0.0011111111111111321,0.9988888888888888,0.0011111111111111321,0.9988888888888888,0.0011111111111111321,0.0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111,0.0011111111111111,0.0011111111111111,0.0011111111111111,0.006665105134006067,0.00037551776033383974,0.018193409495817135,0.0016341520273696277,0.9735627223649667,0.0022872073046457672,0.981806590504183,0.0016341520273697291,0.5986873486669234,0.004174217139678405,900.0,0.0,7176.333333333333,38.75994496040136,1082.6666666666667,24.68467810876485,298.0,15.620499351813308
900,parc,0.9951851851851852,0.0009698572899377925,0.994080129335685,0.002065044038187731,0.009030552902618267,0.0032469934443389603,1.0,0.0,0.9894457829941518,0.00351758716380377,0.9988888888888888,0.0011111111111111321,0.9988888888888888,0.0011111111111111321,0.9988888888888888,0.0011111111111111321,1.0,0.0,0.7037037037037037,0.06415002990995845,0.8250000000000001,0.04330127018922195,0.0011111111111111,0.0011111111111111,0.0011111111111111,0.0011111111111111,0.0015519450118507,0.00032329103572236015,0.0038278431002932664,0.00038770906640910556,0.9937683765866311,0.0015711997359578625,0.9961721568997066,0.0003877090664091669,2.033216454666823,0.08072614721060827,900.0,0.0,7176.333333333333,38.75994496040136,1082.6666666666667,24.68467810876485,298.0,15.620499351813308
