attack_mode,method,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,group_precision_mean,group_precision_std,group_recall_mean,group_recall_std,group_f1_mean,group_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,n_duplicates_mean,n_duplicates_std
coordinated,dependency_truth,0.9574603174603173,0.01432797980494826,0.934152380952381,0.02372336665552373,0.020904452659920535,0.01727609571127952,1.0,0.0,0.9798541591454278,0.014949716107279376,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,1.0,0.0,0.6296296296296297,0.16972502573910517,0.7634615384615385,0.1336088745590905,0.024444444444444397,0.010183501544346307,0.024444444444444397,0.010183501544346307,0.014504559608836266,0.006238777047655391,0.0068489399878028,0.003496986507601415,0.9613574551246123,0.015994838374545642,0.9931510600121971,0.0034969865076014198,0.3156621923332447,0.013706187124039367,150.0,0.0,1343.3333333333333,44.76978147515725,370.3333333333333,17.7857620959388,189.0,12.0
coordinated,iterative_truth,0.9247619047619048,0.03925612161052372,0.9024190476190478,0.047777112055690074,0.2700954141374985,0.18569551927448055,0.997037037037037,0.0051320023927966425,0.7338760148347202,0.18238061168679126,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,0.0,0.0,0.0,0.0,0.0,0.0,0.024444444444444397,0.010183501544346307,0.024444444444444397,0.010183501544346307,0.040213903804205,0.021112581016735556,0.05820039049546669,0.047809115708672065,0.8958416040171521,0.05208837745408053,0.9417996095045332,0.047809115708672086,0.2792580740003056,0.01590191479808795,150.0,0.0,1343.3333333333333,44.76978147515725,370.3333333333333,17.7857620959388,189.0,12.0
coordinated,majority,0.9088888888888889,0.015860312376884782,0.8867619047619049,0.023868440122103384,0.39350297910742277,0.09391445386152658,0.9170370370370371,0.016679007776589132,0.6060488604075539,0.08727587292431849,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,0.0,0.0,0.0,0.0,0.0,0.0,0.024444444444444397,0.010183501544346307,0.024444444444444397,0.010183501544346307,0.048173653901838136,0.005666703269840596,0.0865687584780147,0.03329030397724549,0.8729727528620889,0.013246230659398386,0.9134312415219853,0.03329030397724561,0.09867491300004376,0.0078941542088737,150.0,0.0,1343.3333333333333,44.76978147515725,370.3333333333333,17.7857620959388,189.0,12.0
coordinated,no_repair,0.5184126984126984,0.05888097324115962,0.5053883597883598,0.052697709436245875,0.9976599951669387,0.0845790264927506,0.48666666666666664,0.08963575124488309,0.0,0.0,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,0.0,0.0,0.0,0.0,0.0,0.0,0.024444444444444397,0.010183501544346307,0.024444444444444397,0.010183501544346307,0.4325660886239424,0.058814848296280364,0.2675729898984733,0.06336390542891357,0.381929257725508,0.05362289254958496,0.7324270101015267,0.06336390542891356,0.08416320699992257,0.00908639751179985,150.0,0.0,1343.3333333333333,44.76978147515725,370.3333333333333,17.7857620959388,189.0,12.0
coordinated,parc,0.9568253968253968,0.014454034841691674,0.9335343915343915,0.023882193721572898,0.0227881952144286,0.017889295330332258,1.0,0.0,0.9780095448900598,0.015349252737824696,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,1.0,0.0,0.6296296296296297,0.16972502573910517,0.7634615384615385,0.1336088745590905,0.024444444444444397,0.010183501544346307,0.024444444444444397,0.010183501544346307,0.014763365562256667,0.0057318074303855816,0.007265259721358167,0.0038876892851554415,0.9606700142475479,0.014630990689441566,0.9927347402786418,0.003887689285155427,0.36031856500024634,0.032371169383621515,150.0,0.0,1343.3333333333333,44.76978147515725,370.3333333333333,17.7857620959388,189.0,12.0
coordinated,source_dependence,0.9504761904761905,0.01402944748824408,0.927331216931217,0.023059584399695063,0.07463680713057352,0.05988559128059394,0.9785185185185185,0.019159284676114975,0.9281062462770122,0.05163204943394697,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,0.9755555555555556,0.010183501544346316,1.0,0.0,0.6296296296296297,0.16972502573910517,0.7634615384615385,0.1336088745590905,0.024444444444444397,0.010183501544346307,0.024444444444444397,0.010183501544346307,0.0188442061436289,0.003132940089319346,0.026200511862631563,0.01743296682495609,0.949385153691226,0.007163314020075442,0.9737994881373684,0.017432966824956028,0.1238921789999949,0.006555467302492555,150.0,0.0,1343.3333333333333,44.76978147515725,370.3333333333333,17.7857620959388,189.0,12.0
independent,dependency_truth,0.9923809523809525,0.009379864573139088,0.9923809523809525,0.009379864573139088,0.0184165491535415,0.024465753650022515,1.0,0.0,0.9353321240107544,0.07275254169845535,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9259259259259259,0.12830005981991685,0.9583333333333334,0.07216878364870319,0.0,0.0,0.0,0.0,0.003405845651795933,0.004384372697271168,0.007137389524472634,0.010010616128324169,0.9915722426618311,0.010390538631358675,0.9928626104755273,0.01001061612832416,0.30394340199988307,0.006679640608794035,150.0,0.0,1344.3333333333333,34.239353576452544,373.0,4.358898943540674,190.0,1.7320508075688772
independent,iterative_truth,0.962857142857143,0.035005668475217265,0.962857142857143,0.035005668475217265,0.3188507292551908,0.34062735758963747,0.9962962962962963,0.004625924443258029,-0.12298238257254947,0.9426729934132622,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023220709139423035,0.022373356719436636,0.05537341454483494,0.051355488500586764,0.9414185036980544,0.051722266250474394,0.9446265854551651,0.051355488500586736,0.2774152963332502,0.010458328435780161,150.0,0.0,1344.3333333333333,34.239353576452544,373.0,4.358898943540674,190.0,1.7320508075688772
independent,majority,0.928888888888889,0.016938821043751193,0.928888888888889,0.016938821043751193,0.4093059481932601,0.21584174882687898,0.9325925925925925,0.012830005981991648,-0.5868336197288492,0.411287252072942,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046334543314394995,0.007184670023726016,0.0892865664603026,0.026915889765769096,0.8805531124980187,0.009204108799775044,0.9107134335396974,0.026915889765769113,0.09580267933324647,0.0033916461179688854,150.0,0.0,1344.3333333333333,34.239353576452544,373.0,4.358898943540674,190.0,1.7320508075688772
independent,no_repair,0.7971428571428572,0.11635039736067243,0.7971428571428572,0.11635039736067243,0.24913185604278779,0.07130314327907579,0.7755555555555556,0.11001683372876947,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17225841660778188,0.09925856870042482,0.09931828269245228,0.05754478659048457,0.6789783678135642,0.1558118225642234,0.9006817173075476,0.05754478659048455,0.07859017033327591,0.002616968926116269,150.0,0.0,1344.3333333333333,34.239353576452544,373.0,4.358898943540674,190.0,1.7320508075688772
