suite,dataset,budget,seed,method,margin_threshold,width_threshold,n_groups,certified_groups,certified_fraction,conditional_coverage,mean_certified_width,mean_relative_miss
synthetic-control,synthetic,0.35,11,parc,2.0,0.25,12,0,0.0,0.0,,0.0
synthetic-control,synthetic,0.35,11,parc,2.0,0.5,12,0,0.0,0.0,,0.0
synthetic-control,synthetic,0.35,11,parc,2.0,1.0,12,3,0.25,1.0,0.7872350969106313,0.0
synthetic-control,synthetic,0.35,11,dependency_truth,0.0,0.01,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,dependency_truth,0.0,0.02,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,dependency_truth,0.0,0.05,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,dependency_truth,0.0,0.1,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,dependency_truth,0.0,0.25,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,dependency_truth,0.0,0.5,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,dependency_truth,0.0,1.0,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
public-tabular,iris,0.2,11,parc,0.0,0.01,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,parc,0.0,0.02,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,parc,0.0,0.05,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,parc,0.0,0.1,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,parc,0.0,0.25,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,parc,0.0,0.5,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,parc,0.0,1.0,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,parc,1.0,0.01,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,1.0,0.02,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,1.0,0.05,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,1.0,0.1,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,1.0,0.25,3,1,0.3333333333333333,1.0,0.23700991230576496,0.0
public-tabular,iris,0.2,11,parc,1.0,0.5,3,3,1.0,1.0,0.28733195004839224,0.0
public-tabular,iris,0.2,11,parc,1.0,1.0,3,3,1.0,1.0,0.28733195004839224,0.0
public-tabular,iris,0.2,11,parc,1.5,0.01,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,1.5,0.02,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,1.5,0.05,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,1.5,0.1,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,1.5,0.25,3,1,0.3333333333333333,1.0,0.23700991230576496,0.0
public-tabular,iris,0.2,11,parc,1.5,0.5,3,3,1.0,1.0,0.28733195004839224,0.0
public-tabular,iris,0.2,11,parc,1.5,1.0,3,3,1.0,1.0,0.28733195004839224,0.0
public-tabular,iris,0.2,11,parc,2.0,0.01,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,2.0,0.02,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,2.0,0.05,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,2.0,0.1,3,0,0.0,0.0,,0.0
public-tabular,iris,0.2,11,parc,2.0,0.25,3,1,0.3333333333333333,1.0,0.23700991230576496,0.0
public-tabular,iris,0.2,11,parc,2.0,0.5,3,3,1.0,1.0,0.28733195004839224,0.0
public-tabular,iris,0.2,11,parc,2.0,1.0,3,3,1.0,1.0,0.28733195004839224,0.0
public-tabular,iris,0.2,11,dependency_truth,0.0,0.01,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,dependency_truth,0.0,0.02,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,dependency_truth,0.0,0.05,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,dependency_truth,0.0,0.1,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,dependency_truth,0.0,0.25,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,dependency_truth,0.0,0.5,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.2,11,dependency_truth,0.0,1.0,3,3,1.0,0.3333333333333333,0.0,0.010801412903052737
public-tabular,iris,0.35,11,parc,0.0,0.01,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,parc,0.0,0.02,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,parc,0.0,0.05,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,parc,0.0,0.1,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,parc,0.0,0.25,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,parc,0.0,0.5,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,parc,0.0,1.0,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,parc,1.0,0.01,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.0,0.02,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.0,0.05,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.0,0.1,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.0,0.25,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.0,0.5,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.0,1.0,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.5,0.01,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.5,0.02,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.5,0.05,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.5,0.1,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.5,0.25,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.5,0.5,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,1.5,1.0,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,2.0,0.01,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,2.0,0.02,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,2.0,0.05,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,2.0,0.1,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,2.0,0.25,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,2.0,0.5,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,parc,2.0,1.0,4,1,0.25,0.0,0.0,583750.0
public-tabular,iris,0.35,11,dependency_truth,0.0,0.01,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,dependency_truth,0.0,0.02,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,dependency_truth,0.0,0.05,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,dependency_truth,0.0,0.1,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,dependency_truth,0.0,0.25,4,4,1.0,0.0,0.0,145937.5059307833
public-tabular,iris,0.35,11,dependency_truth,0.0,0.5,4,4,1.0,0.0,0.0,145937.5059307833
