budget,method,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean
0.2,dependency_truth,0.003671673385501931,0.004495255410087997,0.6930259090000064,0.3657901218530442,334.75
0.2,iterative_truth,0.021270627180901346,0.012098969122168571,0.5344969049999762,0.2790265425401266,334.75
0.2,majority,0.03657085082576173,0.02058300108263265,0.20836743600003158,0.11303814430262393,334.75
0.2,no_repair,0.9025608260440873,0.2566270086491786,0.16877055425002394,0.08916349372222555,334.75
0.2,parc,0.003891438863640839,0.004803626468740667,0.7658342397499923,0.41535971199212596,334.75
0.3,dependency_truth,0.006693899880856025,0.007181459854147543,0.6950138965000505,0.3808028183514115,334.75
0.3,iterative_truth,0.07856091597281722,0.039347733316907205,0.5018998667500156,0.2776353646060652,334.75
0.3,majority,0.21611697019901535,0.1103897425997159,0.21682637949996317,0.09886032392681462,334.75
0.3,no_repair,1.026187263092212,0.4186714312131466,0.15540127274997667,0.06592571268133636,334.75
0.3,parc,0.0066327744567548,0.007228044084839623,0.7601197212499855,0.4192514597514062,334.75
