method,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,group_precision_mean,group_precision_std,group_recall_mean,group_recall_std,group_f1_mean,group_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,n_duplicates_mean,n_duplicates_std
dependency_truth,0.9844155844155843,0.019398094020050716,0.9779078118850846,0.03143005508597725,0.022478105165865934,0.018990002494341227,1.0,0.0,0.9635795931627195,0.04355845337482893,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.012775881202322942,1.0,0.0,0.6666666666666666,0.3063121944908938,0.7631701631701632,0.24345736468289797,0.006818181818181818,0.012775881202322904,0.006818181818181818,0.012775881202322904,0.008447011796920046,0.010332088876485691,0.00497448855729336,0.0031179445203857493,0.970740988992156,0.03611262021408885,0.9950255114427066,0.0031179445203857355,0.8400590111666683,0.0473172962988863,220.0,0.0,1805.6666666666667,165.55804621541856,281.5,265.41043687089626,124.16666666666667,169.9981372446965
iterative_truth,0.9694805194805195,0.05631034646410077,0.9634641873278237,0.06714548995413647,0.10690456188223228,0.21714396007089837,0.998989898989899,0.0024742320634173675,0.8972058417237466,0.16456513754413377,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.012775881202322942,0.0,0.0,0.0,0.0,0.0,0.0,0.006818181818181818,0.012775881202322904,0.006818181818181818,0.012775881202322904,0.01954668470627367,0.037450437213128504,0.022449827400405537,0.038950081499422286,0.9506151905719689,0.07305835585667803,0.9775501725995945,0.0389500814994223,0.6687491998333334,0.0376034413546125,220.0,0.0,1805.6666666666667,165.55804621541856,281.5,265.41043687089626,124.16666666666667,169.9981372446965
majority,0.9585497835497835,0.07171773425325437,0.9527754820936639,0.0821242066299985,0.17117483350745596,0.33936865804673855,0.960858585858586,0.0671156825594729,0.8294156803161813,0.2575911498051963,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.012775881202322942,0.0,0.0,0.0,0.0,0.0,0.0,0.006818181818181818,0.012775881202322904,0.006818181818181818,0.012775881202322904,0.025261295662875886,0.04654486035962944,0.041013498190210315,0.07030111402967673,0.9340618038460774,0.09786415148016864,0.9589865018097896,0.07030111402967675,0.2762939210000089,0.02471653792618501,220.0,0.0,1805.6666666666667,165.55804621541856,281.5,265.41043687089626,124.16666666666667,169.9981372446965
no_repair,0.6622294372294372,0.15348617477469068,0.6587972255017709,0.15767380387754784,0.8106682769319912,0.6367266384353978,0.6396464646464647,0.1530150507450651,0.0,0.0,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.012775881202322942,0.0,0.0,0.0,0.0,0.0,0.0,0.006818181818181818,0.012775881202322904,0.006818181818181818,0.012775881202322904,0.29691601654007665,0.13921879850620875,0.22627802273331946,0.07154946884559861,0.4076749413599514,0.11289757393388855,0.7737219772666806,0.0715494688455986,0.2225097946666589,0.020581231114321346,220.0,0.0,1805.6666666666667,165.55804621541856,281.5,265.41043687089626,124.16666666666667,169.9981372446965
parc,0.9846320346320346,0.019634313551106165,0.9781257378984652,0.03167297018867027,0.019215030764678745,0.016351484816110803,1.0,0.0,0.9672528649434379,0.04480449121567749,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.012775881202322942,1.0,0.0,0.6666666666666666,0.3063121944908938,0.7631701631701632,0.24345736468289797,0.006818181818181818,0.012775881202322904,0.006818181818181818,0.012775881202322904,0.008245301169314137,0.01024419807732508,0.004814230118019908,0.0032793106547775184,0.9717053904250746,0.03458195595987159,0.9951857698819802,0.0032793106547774928,0.9649559438333407,0.07741028978302135,220.0,0.0,1805.6666666666667,165.55804621541856,281.5,265.41043687089626,124.16666666666667,169.9981372446965
source_dependence,0.9772727272727272,0.021224927665216144,0.9708264462809918,0.032885796777054735,0.03605731301304652,0.03205251973709102,0.9891414141414141,0.006528644707296537,0.9408876430763358,0.08035864802014467,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.01277588120232291,0.9931818181818182,0.012775881202322942,1.0,0.0,0.6666666666666666,0.3063121944908938,0.7631701631701632,0.24345736468289797,0.006818181818181818,0.012775881202322904,0.006818181818181818,0.012775881202322904,0.011901154787859075,0.01018807511478147,0.01440597121991796,0.007942025079741753,0.9569165393675445,0.030590531520245025,0.9855940287800821,0.007942025079741753,0.33943542916664643,0.024287901364623304,220.0,0.0,1805.6666666666667,165.55804621541856,281.5,265.41043687089626,124.16666666666667,169.9981372446965
