method,budget,seed,cluster,attribute,attribute_type,margin,margin_bin,independent_groups,filtered_claims,correct,incorrect,low_margin,has_independent_support,n_attacked_records,n_duplicates
parc,0.2,0,K:E00007,zip,categorical,1.7313853869816922,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00007,category,categorical,7.214727719431327,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00007,revenue,numeric,1.91195663406572,"[1.5,3)",5,1,1,0,0,1,379,102
parc,0.2,0,K:E00007,employees,numeric,1.91195663406572,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00008,name,categorical,5.358977177704798,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00008,city,categorical,3.785051779675049,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00008,state,categorical,6.250212846575748,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00008,zip,categorical,4.577894060447627,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00008,category,categorical,5.202197104589521,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00008,revenue,numeric,1.91195663406572,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00008,employees,numeric,1.91195663406572,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00009,name,categorical,2.6658790140260464,"[1.5,3)",3,0,1,0,0,1,379,102
parc,0.2,0,K:E00009,city,categorical,4.661357083543133,>=3,3,0,1,0,0,1,379,102
parc,0.2,0,K:E00009,state,categorical,2.2079551801578416,"[1.5,3)",3,0,1,0,0,1,379,102
parc,0.2,0,K:E00009,zip,categorical,4.661357083543133,>=3,3,0,1,0,0,1,379,102
parc,0.2,0,K:E00009,category,categorical,4.661357083543133,>=3,3,0,1,0,0,1,379,102
parc,0.2,0,K:E00009,revenue,numeric,1.91195663406572,"[1.5,3)",3,0,1,0,0,1,379,102
parc,0.2,0,K:E00009,employees,numeric,1.91195663406572,"[1.5,3)",3,0,1,0,0,1,379,102
parc,0.2,0,K:E00010,name,categorical,6.1667119774451,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00010,city,categorical,5.3614765978521906,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00010,state,categorical,6.693331260863829,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00010,zip,categorical,3.5228657008379827,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00010,category,categorical,4.235182811586548,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00010,revenue,numeric,1.91195663406572,"[1.5,3)",5,3,1,0,0,1,379,102
parc,0.2,0,K:E00010,employees,numeric,1.3879487630726066,"[0.75,1.5)",6,1,1,0,0,1,379,102
parc,0.2,0,K:E00011,name,categorical,1.3396377312591126,"[0.75,1.5)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00011,city,categorical,4.613940691106468,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00011,state,categorical,4.462383442842422,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00011,zip,categorical,4.016765608406947,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00011,category,categorical,4.462383442842422,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00011,revenue,numeric,1.91195663406572,"[1.5,3)",5,1,1,0,0,1,379,102
parc,0.2,0,K:E00011,employees,numeric,1.3905601754982218,"[0.75,1.5)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00012,name,categorical,1.931327968421671,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00012,city,categorical,3.8951913781443075,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00012,state,categorical,4.937984295279303,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00012,zip,categorical,4.937984295279303,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00012,category,categorical,3.368572094725579,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00012,revenue,numeric,1.91195663406572,"[1.5,3)",4,1,1,0,0,1,379,102
parc,0.2,0,K:E00012,employees,numeric,1.91195663406572,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00013,name,categorical,5.141596078878781,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00013,city,categorical,6.829710910706591,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00013,state,categorical,6.38659249641851,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00013,zip,categorical,6.3840930762711166,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00013,category,categorical,6.586789855217733,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00013,revenue,numeric,0.9474417612101401,"[0.75,1.5)",6,1,1,0,0,1,379,102
parc,0.2,0,K:E00013,employees,numeric,0.9474417612101401,"[0.75,1.5)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00014,name,categorical,7.214727719431327,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00014,city,categorical,6.693331260863829,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00014,state,categorical,5.721094143009625,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00014,zip,categorical,5.0209004824574865,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00014,category,categorical,6.1667119774451,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00014,revenue,numeric,1.91195663406572,"[1.5,3)",6,1,1,0,0,1,379,102
parc,0.2,0,K:E00014,employees,numeric,1.91195663406572,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00015,name,categorical,0.1224447352794309,"[0,0.25)",6,0,1,0,1,1,379,102
parc,0.2,0,K:E00015,city,categorical,0.5142845320227272,"[0.25,0.75)",6,0,1,0,1,1,379,102
parc,0.2,0,K:E00015,state,categorical,3.356266095292849,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00015,zip,categorical,4.340809212579782,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00015,category,categorical,3.8141899291610537,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00015,revenue,numeric,1.4540328001975151,"[0.75,1.5)",5,1,1,0,0,1,379,102
parc,0.2,0,K:E00015,employees,numeric,1.91195663406572,"[1.5,3)",5,1,1,0,0,1,379,102
parc,0.2,0,K:E00016,name,categorical,3.843456841244268,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00016,city,categorical,4.0731512128027205,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00016,state,categorical,3.1509219869130183,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00016,zip,categorical,4.7591906825796615,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00016,category,categorical,3.843456841244268,>=3,4,0,1,0,0,1,379,102
parc,0.2,0,K:E00016,revenue,numeric,0.06602562476904805,"[0,0.25)",3,1,1,0,1,1,379,102
parc,0.2,0,K:E00016,employees,numeric,1.91195663406572,"[1.5,3)",3,1,1,0,0,1,379,102
parc,0.2,0,K:E00017,name,categorical,7.336301949693967,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00017,city,categorical,5.417078783268144,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00017,state,categorical,6.567524831869526,>=3,6,0,1,0,0,1,379,102
