trust_alpha,method,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,group_precision_mean,group_precision_std,group_recall_mean,group_recall_std,group_f1_mean,group_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,n_duplicates_mean,n_duplicates_std
0.0,dependency_truth,0.9941269841269843,0.006500188961727924,0.9930306878306879,0.008390125651550865,0.0099906158972862,0.009727873612042722,1.0,0.0,0.9878021651511336,0.01197687323916165,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,1.0,0.0,0.7037037037037037,0.06415002990995843,0.8250000000000001,0.043301270189221974,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.0025831978435644667,0.002702294591427261,0.004077163952415134,0.002529181543949213,0.9915423076980359,0.00688201233997768,0.9959228360475848,0.00252918154394913,0.6479415333336268,0.04081198423169094,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.0,parc,0.9942857142857143,0.0066666666666666125,0.993189417989418,0.008550335795187542,0.012318077972859866,0.014892507395594943,1.0,0.0,0.9849988717909421,0.01844768842526528,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,1.0,0.0,0.7037037037037037,0.06415002990995843,0.8250000000000001,0.043301270189221974,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.0024375619263042334,0.002712911071426097,0.0043471645458297665,0.0037532118634353373,0.9922134631470474,0.007198241070754803,0.9956528354541702,0.003753211863435338,0.6828798556668213,0.02201016504125145,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.0,provenance_unaware,0.9765079365079364,0.027640932763225698,0.975458201058201,0.029449988154516653,0.06244811880629456,0.04914638623372093,0.9766666666666667,0.02562791687704621,0.9235675600403184,0.059911405285774044,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.014566720146190933,0.01817141118997933,0.01611670750356607,0.01381741677785647,0.9560363331002989,0.045523078256536106,0.9838832924964339,0.01381741677785632,0.23028970366704013,0.021568128394817716,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.25,dependency_truth,0.9941269841269843,0.006500188961727924,0.9930306878306879,0.008390125651550865,0.0099906158972862,0.009727873612042722,1.0,0.0,0.9878021651511336,0.01197687323916165,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,1.0,0.0,0.7037037037037037,0.06415002990995843,0.8250000000000001,0.043301270189221974,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.0026883669028272,0.0028831174476407215,0.004000588410643166,0.002401614908207293,0.9912454827937024,0.007394797457691964,0.9959994115893567,0.0024016149082072627,0.7163129336665103,0.06520204995047062,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.25,parc,0.9942857142857143,0.0066666666666666125,0.993189417989418,0.008550335795187542,0.012318077972859866,0.014892507395594943,1.0,0.0,0.9849988717909421,0.01844768842526528,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,1.0,0.0,0.7037037037037037,0.06415002990995843,0.8250000000000001,0.043301270189221974,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.002542730985567,0.002892409622982427,0.0042705890040578,0.0036263204829974976,0.9919158695359949,0.00770567048566034,0.9957294109959421,0.0036263204829976256,0.7226744553330112,0.06219384751614108,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.25,provenance_unaware,0.9757142857142856,0.029059326290271154,0.9746671957671958,0.030861669287731715,0.06801519957067613,0.05427960426127789,0.9766666666666667,0.02730712383876561,0.9173422057398727,0.06605699932852291,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.014709364884867066,0.018296741623496145,0.017991146350605235,0.018076981505045865,0.9557033801429976,0.04641072710094748,0.9820088536493947,0.01807698150504583,0.2331172730000616,0.023761489265324957,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.5,dependency_truth,0.9941269841269843,0.006500188961727924,0.9930306878306879,0.008390125651550865,0.0128623859100621,0.014566982904211235,1.0,0.0,0.9842603922469145,0.017988378970599652,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,1.0,0.0,0.7037037037037037,0.06415002990995843,0.8250000000000001,0.043301270189221974,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.0026357823731958333,0.0027926843250901147,0.004613192744818834,0.003432916510952419,0.9913842278754998,0.007155082164178952,0.9953868072551811,0.003432916510952338,0.6328352116667398,0.03526154545373739,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.5,parc,0.9944444444444445,0.006394678437613885,0.993347619047619,0.008278084883740091,0.012318077972859866,0.014892507395594943,1.0,0.0,0.9849988717909421,0.01844768842526528,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,1.0,0.0,0.7037037037037037,0.06415002990995843,0.8250000000000001,0.043301270189221974,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.0024901464559356334,0.002802617447320329,0.004194013462285834,0.0034998548656435292,0.9920664502001442,0.007448776498992295,0.9958059865377141,0.0034998548656436294,0.76434828900013,0.16622428310147597,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.5,provenance_unaware,0.9722222222222223,0.029091821689114387,0.9711783068783069,0.030854602430426193,0.09412056903510187,0.05232175288468793,0.9722222222222222,0.027644122899166106,0.8839322275118335,0.06243849298950623,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.016923951818250734,0.017873168458328002,0.021955366401885636,0.015911785056147675,0.9480564937656442,0.044012216818782125,0.9780446335981144,0.01591178505614764,0.21379372000016392,0.0028020559502814077,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.75,dependency_truth,0.9941269841269843,0.006500188961727924,0.9930306878306879,0.008390125651550865,0.0127551572856372,0.014384641681454275,1.0,0.0,0.9843926380168945,0.01776240432629329,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,1.0,0.0,0.7037037037037037,0.06415002990995843,0.8250000000000001,0.043301270189221974,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.0026357823731958333,0.0027926843250901147,0.004536617203046866,0.0033029729767495536,0.991385507499885,0.007152871494025972,0.9954633827969529,0.0033029729767496017,0.6205442356664813,0.009007530694490784,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.75,parc,0.9942857142857143,0.007046975517594729,0.9931899470899471,0.00893719588168434,0.011836603216907366,0.014081968730298119,1.0,0.0,0.9855926777841489,0.017442924089334268,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,1.0,0.0,0.7037037037037037,0.06415002990995843,0.8250000000000001,0.043301270189221974,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.0024393101995175666,0.002834229415535494,0.004407413362558367,0.0040512932905010166,0.9922465456927302,0.007572366297806056,0.9955925866374415,0.004051293290501178,0.6556027553330447,0.014725447041122415,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
0.75,provenance_unaware,0.9668253968253969,0.030920618623899863,0.9657883597883599,0.03261147841477615,0.09831785702563349,0.0432120633610021,0.9655555555555555,0.03203007845644336,0.878503766544688,0.05031537297119483,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.998888888888889,0.0019245008972986687,0.0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111,0.0019245008972987334,0.0011111111111111,0.0019245008972987334,0.020236227789128664,0.019105175231140598,0.026601307946521033,0.0156788938429769,0.9376219355542822,0.046637231200189394,0.973398692053479,0.015678893842976847,0.21245209300013812,0.0050183976103751506,300.0,0.0,2411.0,28.478061731796284,368.6666666666667,10.969655114602881,103.33333333333333,5.033222956847167
