n_entities,method,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,group_precision_mean,group_precision_std,group_recall_mean,group_recall_std,group_f1_mean,group_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,n_duplicates_mean,n_duplicates_std
300,dependency_truth,1.0,,1.0,,0.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.5555555555555556,,0.7142857142857143,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,,1.1754257149996192,,300.0,,3121.0,,420.0,,128.0,
300,iterative_truth,0.9980952380952381,,0.9980952380952381,,0.013220881935176038,,1.0,,0.9828323655041739,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.001115809255344139,,0.003735214774849554,,0.9960580912863071,,0.9962647852251505,,0.8837930300001062,,300.0,,3121.0,,420.0,,128.0,
300,parc,1.0,,1.0,,0.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.5555555555555556,,0.7142857142857143,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,,1.2989284690002023,,300.0,,3121.0,,420.0,,128.0,
900,dependency_truth,0.9998412698412699,,0.9998412698412699,,0.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.4444444444444444,,0.6153846153846153,,0.0,,0.0,,3.685752722849824e-05,,0.0006699419383653417,,0.9998510463990467,,0.9993300580616347,,3.5829328740001074,,900.0,,9671.0,,1373.0,,428.0,
900,iterative_truth,0.9988888888888889,,0.9988888888888889,,0.004748461866458214,,1.0,,0.9948365237822014,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0005160053811989753,,0.0027542057466130713,,0.9979143389199255,,0.9972457942533869,,2.6432593049999014,,900.0,,9671.0,,1373.0,,428.0,
900,parc,0.9998412698412699,,0.9998412698412699,,0.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.4444444444444444,,0.6153846153846153,,0.0,,0.0,,3.685752722849824e-05,,0.0006699419383653417,,0.9998510463990467,,0.9993300580616347,,3.8983319240001038,,900.0,,9671.0,,1373.0,,428.0,
