suite,dataset,budget,seed,method,n_entities,n_records,n_attacked_records,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall
heldout_public_transfer,iris,0.17,41,no_repair,150,1320,200,0.5352380952380953,0.5352380952380953,0.9915072311843612,0.3555555555555555,0.0,0.4056897500000218,150.0,1.0,1.0,1.0,0.0,0.0,0.4226368836829202,0.2434141201264489,0.3163692443269442,0.7565858798735511
heldout_public_transfer,iris,0.17,41,dependency_truth,150,1320,200,0.9990476190476192,0.9990476190476192,0.0043406518742841,0.6777777777777778,0.9956221682124302,1.5312666439999705,150.0,1.0,1.0,1.0,0.0,0.0,0.0001362026695723,0.000526870389884,0.999473129610116,0.999473129610116
heldout_public_transfer,iris,0.17,41,parc,150,1320,200,0.9990476190476192,0.9990476190476192,0.0043406518742841,0.6777777777777778,0.9956221682124302,1.249281375999999,150.0,1.0,1.0,1.0,0.0,0.0,0.0001362026695723,0.000526870389884,0.999473129610116,0.999473129610116
heldout_public_transfer,iris,0.17,42,no_repair,150,1328,186,0.4666666666666667,0.4666666666666667,1.0637680896084485,0.3577777777777777,0.0,0.2899732879999988,150.0,1.0,1.0,1.0,0.0,0.0,0.4900747986191024,0.2363481228668942,0.3444294785453146,0.7636518771331058
heldout_public_transfer,iris,0.17,42,dependency_truth,150,1328,186,0.9971428571428572,0.9971428571428572,0.0010102459573311,0.6777777777777778,0.9990503137223236,1.3586512169999878,150.0,1.0,1.0,1.0,0.0,0.0,0.0008630609896432,0.0012798634812286,0.9974435449510012,0.9987201365187712
heldout_public_transfer,iris,0.17,42,parc,150,1328,186,0.998095238095238,0.998095238095238,0.0,0.6777777777777778,1.0,1.7237226649999684,150.0,1.0,1.0,1.0,0.0,0.0,0.0004315304948216,0.0008532423208191,0.998720682302772,0.9991467576791808
heldout_public_transfer,iris,0.27,41,no_repair,150,1464,395,0.4685714285714286,0.4685714285714286,1.533978017199542,0.3466666666666667,0.0,0.3640311430000338,150.0,1.0,1.0,1.0,0.0,0.0,0.4773645917542441,0.2820240622788393,0.3641421392677674,0.7179759377211606
heldout_public_transfer,iris,0.27,41,dependency_truth,150,1464,395,0.9990476190476192,0.9990476190476192,0.0043406518742841,0.6777777777777778,0.9971703298055024,1.2107189980000044,150.0,1.0,1.0,1.0,0.0,0.0,0.0001347345728914,0.0003538570417551,0.9996461429582448,0.9996461429582448
heldout_public_transfer,iris,0.27,41,parc,150,1464,395,0.9990476190476192,0.9990476190476192,0.0043406518742841,0.6777777777777778,0.9971703298055024,1.5148772860000008,150.0,1.0,1.0,1.0,0.0,0.0,0.0001347345728914,0.0003538570417551,0.9996461429582448,0.9996461429582448
heldout_public_transfer,iris,0.27,42,no_repair,150,1453,360,0.4009523809523809,0.398279365079365,1.4325537398326635,0.2866666666666666,0.0,0.2964434169999776,150.0,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.0066666666666666,0.0066666666666666,0.5527106279502217,0.2420951772596614,0.3804713804713804,0.7579048227403385
heldout_public_transfer,iris,0.27,42,dependency_truth,150,1453,360,0.9904761904761904,0.983873015873016,0.0139700813386912,0.6777777777777778,0.99024812755693,1.443264757999998,150.0,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.0066666666666666,0.0066666666666666,0.0012873694750393,0.0012775471095496,0.9971301020408164,0.9987224528904504
heldout_public_transfer,iris,0.27,42,parc,150,1453,360,0.9904761904761904,0.983873015873016,0.0299698328577252,0.6799999999999999,0.9790794355392028,1.7718017830000008,150.0,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.0066666666666666,0.0066666666666666,0.0012873694750393,0.0022357074417119,0.997127353973827,0.997764292558288
heldout_public_transfer,wine,0.17,41,no_repair,178,1576,223,0.5401284109149278,0.5401284109149278,1.133159676257181,0.3913857677902621,0.0,0.3833148669999673,178.0,1.0,1.0,1.0,0.0,0.0,0.4184738014300785,0.2167133146741303,0.3543136190992946,0.7832866853258696
heldout_public_transfer,wine,0.17,41,dependency_truth,178,1576,223,0.9991974317817014,0.9991974317817014,0.0,0.7265917602996255,1.0,1.6182629859999906,178.0,1.0,1.0,1.0,0.0,0.0,0.0002344391044426,0.0007996801279488,0.9992003198720512,0.9992003198720512
heldout_public_transfer,wine,0.17,41,parc,178,1576,223,0.9991974317817014,0.9991974317817014,0.0,0.7265917602996255,1.0,1.8994952470000044,178.0,1.0,1.0,1.0,0.0,0.0,0.0002344391044426,0.0007996801279488,0.9992003198720512,0.9992003198720512
heldout_public_transfer,wine,0.27,41,no_repair,178,1748,462,0.5088282504012841,0.5088282504012841,1.3137531971104577,0.3838951310861423,0.0,0.3346076909999738,178.0,1.0,1.0,1.0,0.0,0.0,0.445256321039202,0.2177642501383508,0.4240924092409241,0.7822357498616491
heldout_public_transfer,wine,0.27,41,dependency_truth,178,1748,462,0.99438202247191,0.99438202247191,0.0097994139982833,0.7265917602996255,0.99254090188337,1.5904902010000797,178.0,1.0,1.0,1.0,0.0,0.0,0.0026675945256321,0.0024903154399557,0.9936604189636165,0.9975096845600444
heldout_public_transfer,wine,0.27,41,parc,178,1748,462,0.9935794542536116,0.9935794542536116,0.025186109780391,0.7265917602996255,0.9808288879252308,1.988855075999936,178.0,1.0,1.0,1.0,0.0,0.0,0.0034794711203897,0.0041505257332595,0.9917332598511986,0.9958494742667404
