dataset,budget,method,seed_mean,seed_std,n_entities_mean,n_entities_std,n_sources_mean,n_sources_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std
iris,0.2,no_repair,21.0,,150.0,,12.0,,1373.0,,226.0,,0.4352380952380952,,0.4352380952380952,,1.130112010560441,,0.3333333333333333,,0.0,,0.1402519479997863,,150.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.523293172690763,,0.269500233535731,,0.2857664900420245,,0.7304997664642691,
iris,0.2,parc,21.0,,150.0,,12.0,,1373.0,,226.0,,1.0,,1.0,,0.0,,0.6777777777777778,,1.0,,0.6787592159998894,,150.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
midwest,0.2,dependency_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.6811111111111111,,1.0,,1.342692229000022,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
midwest,0.2,iterative_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.6811111111111111,,1.0,,0.8343411209998521,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
midwest,0.2,majority,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9942857142857144,,0.9942857142857144,,0.0295230560489253,,0.6722222222222223,,0.9747076133011484,,0.3485535580002761,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.003004848733183,,0.0111321648507816,,0.9895709883858734,,0.9888678351492184,
midwest,0.2,no_repair,21.0,,300.0,,12.0,,2695.0,,425.0,,0.4395238095238095,,0.4395238095238095,,1.1672704676093704,,0.3111111111111111,,0.0,,0.2725602969999272,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5208632110906235,,0.2901468498342018,,0.2820971385542168,,0.7098531501657982,
midwest,0.2,parc,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.6811111111111111,,1.0,,1.4525797950000197,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
mpg,0.2,dependency_truth,21.0,,234.0,,12.0,,2121.0,,332.0,,0.996947496947497,,0.996947496947497,,0.0164357649143532,,0.8333333333333334,,0.9842381842141243,,0.9639404180002202,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0011329963395502,,0.0023717758671805,,0.9961515689757252,,0.9976282241328196,
mpg,0.2,iterative_truth,21.0,,234.0,,12.0,,2121.0,,332.0,,0.9993894993894994,,0.9993894993894994,,0.0041223666075999,,0.8333333333333334,,0.9960466711826664,,0.694957777000127,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0002614606937423,,0.0005929439667951,,0.9991108476585656,,0.9994070560332048,
mpg,0.2,majority,21.0,,234.0,,12.0,,2121.0,,332.0,,0.992063492063492,,0.992063492063492,,0.0707693443591258,,0.8219373219373219,,0.9321325551388472,,0.2477109689998542,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0044448317936203,,0.0112659353691076,,0.9849379799173066,,0.9887340646308924,
mpg,0.2,no_repair,21.0,,234.0,,12.0,,2121.0,,332.0,,0.4865689865689865,,0.4865689865689865,,1.042758343177791,,0.3789173789173788,,0.0,,0.2252493969999704,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.4748126198361513,,0.2751260005929439,,0.3097681489927784,,0.724873999407056,
mpg,0.2,parc,21.0,,234.0,,12.0,,2121.0,,332.0,,0.9975579975579976,,0.9975579975579976,,0.0165431187241583,,0.8333333333333334,,0.984135232451132,,1.0181447329996445,,234.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0008715356458079,,0.0020753038837829,,0.9970379146919433,,0.997924696116217,
txhousing,0.2,dependency_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9995238095238096,,0.9995238095238096,,0.0,,0.7111111111111111,,1.0,,1.2159738369996376,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.000136518771331,,0.0007117437722419,,0.9995253915519696,,0.999288256227758,
txhousing,0.2,iterative_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.7111111111111111,,1.0,,0.8310969139997724,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
txhousing,0.2,majority,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9923809523809524,,0.9923809523809524,,0.0386475077869679,,0.7022222222222223,,0.9677012598714568,,0.3541380889996617,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0042320819112627,,0.0113879003558718,,0.9853393237171908,,0.988612099644128,
txhousing,0.2,no_repair,21.0,,300.0,,12.0,,2695.0,,425.0,,0.4376190476190476,,0.4376190476190476,,1.1965639412917553,,0.3188888888888889,,0.0,,0.2660068209997916,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5236860068259386,,0.293238434163701,,0.2796920476950521,,0.7067615658362989,
txhousing,0.2,parc,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9995238095238096,,0.9995238095238096,,0.0,,0.7111111111111111,,1.0,,1.2511888029998772,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.000136518771331,,0.0007117437722419,,0.9995253915519696,,0.999288256227758,
wine,0.2,dependency_truth,21.0,,178.0,,12.0,,1611.0,,255.0,,0.9991974317817014,,0.9991974317817014,,0.0,,0.7265917602996255,,1.0,,0.6764707160000398,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0002258866049243,,0.0012381345439537,,0.9991742361684558,,0.9987618654560462,
wine,0.2,iterative_truth,21.0,,178.0,,12.0,,1611.0,,255.0,,1.0,,1.0,,0.0,,0.7265917602996255,,1.0,,0.4773449780000192,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
wine,0.2,majority,21.0,,178.0,,12.0,,1611.0,,255.0,,0.9895666131621188,,0.9895666131621188,,0.0765783893267223,,0.7153558052434457,,0.9294463887188124,,0.260817212999882,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0054212785181838,,0.0185720181593066,,0.9802143446001648,,0.9814279818406934,
wine,0.2,no_repair,21.0,,178.0,,12.0,,1611.0,,255.0,,0.4333868378812199,,0.4333868378812199,,1.0853929081181024,,0.3014981273408239,,0.0,,0.15463326400004,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5276711091032302,,0.306231943871234,,0.2645994018573902,,0.693768056128766,
wine,0.2,parc,21.0,,178.0,,12.0,,1611.0,,255.0,,0.9991974317817014,,0.9991974317817014,,0.0,,0.7265917602996255,,1.0,,0.7519817819998025,,178.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0002258866049243,,0.0012381345439537,,0.9991742361684558,,0.9987618654560462,
